eval mean 100 episode reward,eval_time_elapsed,eval_qs,eval_ep_rewmean,eval_returns,eval_discount_q,eval_eplenmean,total timesteps,eval_qs_difference,eval_abs_qs_difference
46.7,2,120.83284,169.7332321818182,164.69171555238182,105.99768369762879,97.63636363636364,27001,54.514201540931666,54.514206
,,,,,,,27017,,
,,,,,,,27514,,
,,,,,,,27786,,
,,,,,,,27900,,
70.5,3,129.79088,227.78423254545453,236.6759226881944,129.2837476916825,107.45454545454545,28001,37.01900956157477,37.01901
,,,,,,,28101,,
,,,,,,,28570,,
87.2,2,156.81694,149.76897054545455,147.12974325321926,96.82485050586351,92.27272727272727,29001,98.39886190173624,98.39885
,,,,,,,29011,,
,,,,,,,29469,,
,,,,,,,29845,,
116.8,3,138.3478,290.4178135454545,329.6158789205233,149.6017621667417,123.9090909090909,30001,23.83752790944004,26.155664
,,,,,,,30281,,
,,,,,,,30659,,
,,,,,,,30935,,
132.6,1,177.4968,131.60783054545456,134.99800710312067,92.5524234009665,69.72727272727273,31001,120.72351379532576,120.72352
,,,,,,,31190,,
,,,,,,,31509,,
,,,,,,,31827,,
146.5,1,171.75685,131.31720354545453,132.05203327597997,91.80033491553951,70.54545454545455,32001,114.44781734176945,114.44782
,,,,,,,32154,,
,,,,,,,32491,,
,,,,,,,32812,,
159.9,1,175.72313,126.84155127272726,125.98574327080658,89.23359904775435,68.0909090909091,33001,119.18659986022966,119.1866
,,,,,,,33133,,
,,,,,,,33456,,
,,,,,,,33788,,
176.8,2,159.08354,191.89335236363638,193.9832512423749,118.46148704175167,91.9090909090909,34001,77.89826009776579,77.89826
,,,,,,,34154,,
,,,,,,,34730,,
181.5,2,181.62744,205.89432790909095,124.9239509764701,117.10186190377239,99.63636363636364,35001,99.60559956569645,100.36823
,,,,,,,35051,,
,,,,,,,35474,,
,,,,,,,35878,,
190.6,3,145.73077,270.95389136363633,280.8787645881295,143.8713594765277,119.18181818181819,36001,38.42012752075096,38.770348
,,,,,,,36354,,
,,,,,,,36870,,
188.6,2,154.3198,196.06338445454548,249.86935585023602,118.05621058285254,96.45454545454545,37001,74.59384410288462,74.85046
,,,,,,,37348,,
,,,,,,,37735,,
200.8,3,159.09987,278.6844444545455,274.3815469023743,142.29572683323238,127.27272727272727,38001,52.218499035440715,52.84767
,,,,,,,38211,,
,,,,,,,38537,,
,,,,,,,38922,,
196.3,2,155.47577,216.4039990909091,216.87036856458278,124.74560878774209,107.18181818181819,39001,68.82616717284925,69.16064
,,,,,,,39356,,
,,,,,,,39959,,
227.8,4,145.94673,459.10961172727275,344.13669344026874,183.78560372995818,169.36363636363637,40001,-10.50045421378018,48.462376
,,,,,,,40322,,
,,,,,,,40717,,
297.6,7,211.28345,808.5807293636364,805.9645409706885,219.033370924284,283.90909090909093,41001,2.8513803241798503,57.369606
,,,,,,,41720,,
322.7,3,182.09425,310.2926335454545,305.2933972105869,155.28912229922574,133.0909090909091,42001,64.49062224984738,64.8252
,,,,,,,42293,,
364.0,5,209.68227,587.1759564545454,646.5270992752213,197.66211829965508,206.27272727272728,43001,21.071788065653177,36.087143
,,,,,,,43030,,
404.4,5,248.08942,577.913811090909,584.4667434671347,198.9793572313858,206.63636363636363,44001,63.75061996025315,65.48801
,,,,,,,44029,,
,,,,,,,44627,,
450.4,6,251.76596,670.5624689090909,662.2141281934037,197.96050697333877,237.27272727272728,45001,52.06937889321626,56.49619
,,,,,,,45293,,
476.7,4,238.65068,420.5543558181818,451.2997247288387,177.7810410416809,161.27272727272728,46001,87.10518948313599,88.702835
,,,,,,,46099,,
,,,,,,,46744,,
516.2,5,258.35016,649.085059909091,646.6583572476634,217.798981014604,208.0909090909091,47001,50.04614744271369,55.41083
,,,,,,,47319,,
559.1,5,233.38084,621.8872616363636,684.6303047704112,204.7471522320835,196.9090909090909,48001,32.353571549570056,47.198307
,,,,,,,48061,,
,,,,,,,48889,,
573.3,5,263.37314,562.1896462727273,560.2958334299427,191.13443636462873,213.45454545454547,49001,88.64582254144935,89.2858
,,,,,,,49704,,
565.8,5,254.35162,657.0100604545455,652.1765052749417,216.12589583971624,216.0,50001,49.24350200117317,54.630466
,,,,,,,50677,,
590.9,5,236.89888,616.2899420000001,500.94067323424554,208.88106951649468,200.0909090909091,51001,32.92604377924056,48.20428
,,,,,,,51477,,
595.6,5,256.16418,578.0528698181818,577.3082580832541,198.9503279918027,209.9090909090909,52001,74.61376997505357,81.0291
,,,,,,,52346,,
593.4,5,261.19138,566.3989585454547,575.7995614742081,196.47371503663646,207.72727272727272,53001,82.18059633334396,84.04368
,,,,,,,53184,,
593.4,5,266.187,661.4520604545455,662.8712182128918,209.46767163224732,222.72727272727272,54001,62.3164797706034,63.872208
,,,,,,,54157,,
