eval_abs_qs_difference,total timesteps,eval_ep_rewmean,eval_qs,eval_time_elapsed,eval mean 100 episode reward,eval_returns,eval_discount_q,eval_qs_difference,eval_eplenmean
48.13638,17001,-137.94295436363637,-0.7322452,1,-137.1,-142.46391318106265,-89.97407211817949,48.13637787305277,100.0
,17200,,,,,,,,
,17600,,,,,,,,
,18000,,,,,,,,
47.471813,18001,-135.99480109090908,-0.7336391,1,-136.9,-137.81447804143446,-88.67610594756776,47.47181715097384,100.0
,18400,,,,,,,,
,18800,,,,,,,,
48.01666,19001,-137.3447679090909,-0.73808116,1,-137.1,-132.8105594908647,-89.4848820241668,48.016653754177554,100.0
,19200,,,,,,,,
,19600,,,,,,,,
,20000,,,,,,,,
48.765587,20001,-139.14311954545454,-0.7425871,1,-137.2,-132.18701129715615,-90.54034716571864,48.765588647712995,100.0
,20400,,,,,,,,
,20800,,,,,,,,
46.837643,21001,-134.6252979090909,-0.7305555,1,-137.1,-133.55023524978583,-87.93646759105992,46.837639726190055,100.0
,21200,,,,,,,,
,21600,,,,,,,,
,22000,,,,,,,,
47.60815,22001,-136.75093900000002,-0.7252695,1,-137.1,-134.5173703062242,-89.31062548818609,47.60815021798228,100.0
,22400,,,,,,,,
,22800,,,,,,,,
48.807156,23001,-139.2943802727273,-0.74235797,1,-137.3,-133.02771028685623,-90.65137349625478,48.80716274047311,100.0
,23200,,,,,,,,
,23600,,,,,,,,
,24000,,,,,,,,
48.249928,24001,-138.8528269090909,-0.7231741,1,-137.5,-134.62055256742224,-90.78760206349457,48.249926676955376,100.0
,24400,,,,,,,,
,24800,,,,,,,,
69.3546,25001,-187.56383763636367,-0.4605567,1,-142.4,-185.59357860724512,-118.93806379185861,69.35459761828973,100.0
,25200,,,,,,,,
,25600,,,,,,,,
,26000,,,,,,,,
16.157635,26001,-53.83920163636364,-4.120641,1,-134.6,-61.04444067288142,-34.15617639418636,15.903945772150585,100.0
,26400,,,,,,,,
,26800,,,,,,,,
13.528509,27001,-53.987818272727274,-6.879629,1,-125.5,-51.99198532836152,-34.55766047703741,12.896104960726445,100.0
,27200,,,,,,,,
,27600,,,,,,,,
,28000,,,,,,,,
12.234659,28001,-56.42081890909091,-9.097238,1,-116.6,-51.695395905744526,-36.380411553473884,11.30697334994697,100.0
,28400,,,,,,,,
,28800,,,,,,,,
26.940197,29001,-76.1153509090909,-5.739934,1,-109.4,-78.20544134199274,-44.210105547951585,26.607412521816105,100.0
,29200,,,,,,,,
,29600,,,,,,,,
,30000,,,,,,,,
15.818931,30001,-63.76903945454546,-7.3891315,1,-101.8,-60.03002969918284,-41.72039663997784,15.07671514309672,100.0
,30400,,,,,,,,
,30800,,,,,,,,
23.583656,31001,-81.54445627272727,-7.7576356,1,-95.6,-81.97577828294659,-51.37723353707011,22.923359219016906,100.0
,31200,,,,,,,,
,31600,,,,,,,,
,32000,,,,,,,,
16.909668,32001,-48.34793409090909,0.7551539,1,-85.7,-58.50132571356334,-32.518604691190724,16.909669360117846,100.0
,32400,,,,,,,,
,32800,,,,,,,,
16.862541,33001,-59.75425418181819,-5.8434567,1,-77.1,-57.7876332554381,-37.908216529400605,16.381663089719908,100.0
,33200,,,,,,,,
,33600,,,,,,,,
,34000,,,,,,,,
43.544994,34001,-107.39365181818181,-5.0659747,1,-68.9,-99.39727988042443,-59.3937035184264,43.52791044824123,100.0
,34400,,,,,,,,
,34800,,,,,,,,
29.954382,35001,-87.66151763636364,-5.1560245,1,-70.1,-85.51527612850539,-53.26998671900933,29.76820620010302,100.0
,35200,,,,,,,,
,35600,,,,,,,,
,36000,,,,,,,,
19.089758,36001,-69.40196490909089,-7.707022,1,-72.0,-64.92837511414322,-43.86522413625537,18.268370525592044,100.0
,36400,,,,,,,,
,36800,,,,,,,,
19.856327,37001,-75.6576450909091,-8.422122,1,-73.8,-89.27296348127125,-48.41384714049698,19.305814126836072,100.0
,37200,,,,,,,,
,37600,,,,,,,,
,38000,,,,,,,,
15.264048,38001,-61.173482090909104,-6.8518724,1,-72.8,-71.843276122451,-40.15596346490583,14.56720543845283,100.0
,38400,,,,,,,,
,38800,,,,,,,,
16.555256,39001,-60.57020072727273,-5.124962,1,-72.3,-53.700333167301594,-39.51223461893428,16.32812638591503,100.0
,39200,,,,,,,,
,39600,,,,,,,,
,40000,,,,,,,,
21.492811,40001,-71.8759611818182,-5.927131,1,-71.4,-76.47165979169985,-45.43684132111119,20.96635728707001,100.0
