eval_eplenmean,eval_ep_rewmean,eval_time_elapsed,eval_discount_q,eval_qs_difference,eval_qs,eval mean 100 episode reward,eval_returns,eval_abs_qs_difference,total timesteps
,,,,,,,,,28370
,,,,,,,,,28488
,,,,,,,,,28653
,,,,,,,,,28825
,,,,,,,,,28999
74.63636363636364,346.2226896363636,2,241.56816515239095,213.69993167243447,349.87927,148.4,264.1155447854238,213.7524,29001
,,,,,,,,,29212
,,,,,,,,,29444
,,,,,,,,,29561
,,,,,,,,,29769
,,,,,,,,,29938
36.81818181818182,191.18410154545455,1,159.54771667587332,169.13118621311278,259.34818,160.8,191.36937946168175,170.88217,30001
,,,,,,,,,30148
,,,,,,,,,30402
,,,,,,,,,30596
,,,,,,,,,30784
,,,,,,,,,30991
44.36363636363637,223.48647000000003,1,180.2003573695733,258.2835223448708,359.87433,175.8,224.3801841299347,258.28354,31001
,,,,,,,,,31237
,,,,,,,,,31438
,,,,,,,,,31665
,,,,,,,,,31882
71.0,337.00796700000006,2,241.35453876911563,267.6532741930774,404.90198,202.0,382.16692087856603,267.65598,32001
,,,,,,,,,32083
,,,,,,,,,32324
,,,,,,,,,32574
,,,,,,,,,32809
37.72727272727273,193.62056909090907,1,160.58313016345588,210.4403241484275,300.861,216.1,178.43762946753927,210.654,33001
,,,,,,,,,33047
,,,,,,,,,33205
,,,,,,,,,33407
,,,,,,,,,33600
,,,,,,,,,33819
68.54545454545455,371.786451,2,264.8705116726047,156.82253310112884,315.87292,246.7,360.33183845323566,158.6079,34001
,,,,,,,,,34043
,,,,,,,,,34215
,,,,,,,,,34452
,,,,,,,,,34674
,,,,,,,,,34889
58.36363636363637,303.45026445454545,1,227.57324270244726,214.15772962504718,347.44626,261.1,312.4398196295654,214.82518,35001
,,,,,,,,,35096
,,,,,,,,,35297
,,,,,,,,,35535
,,,,,,,,,35783
72.72727272727273,369.33827245454546,2,259.3802195260555,154.91792205576186,307.6102,277.7,409.5319003655942,156.67148,36001
,,,,,,,,,36002
,,,,,,,,,36223
,,,,,,,,,36459
,,,,,,,,,36688
,,,,,,,,,36910
70.9090909090909,320.98840590909094,2,232.21555433512333,222.59291271161692,349.338,292.9,312.87546944323026,223.38861,37001
,,,,,,,,,37088
,,,,,,,,,37344
,,,,,,,,,37605
,,,,,,,,,37828
49.27272727272727,247.93044954545456,1,191.6371825256545,168.65518700735095,278.06726,283.7,325.6296037156934,181.87608,38001
,,,,,,,,,38114
,,,,,,,,,38332
,,,,,,,,,38661
,,,,,,,,,38926
57.63636363636363,265.1644861818182,1,199.69517376686602,187.4199921445189,296.60187,290.8,260.7894944145399,194.51636,39001
,,,,,,,,,39208
,,,,,,,,,39517
,,,,,,,,,39756
70.36363636363636,312.3504176363636,2,227.1018022807442,115.51517211771342,237.354,301.2,266.3384136889836,144.87537,40001
,,,,,,,,,40033
,,,,,,,,,40290
,,,,,,,,,40552
,,,,,,,,,40816
82.36363636363636,377.9624507272727,2,255.3550020552173,76.90651661648938,225.64047,305.8,492.73827059169406,102.35071,41001
,,,,,,,,,41101
,,,,,,,,,41395
,,,,,,,,,41705
,,,,,,,,,41977
82.72727272727273,375.0283487272727,2,258.0998444868047,99.21953786017251,242.06976,324.1,366.5470490866605,107.59283,42001
,,,,,,,,,42338
,,,,,,,,,42572
,,,,,,,,,42793
71.9090909090909,341.36420772727274,2,242.8240940340088,93.35944137953143,230.82217,323.6,450.21882914713797,103.94882,43001
,,,,,,,,,43125
,,,,,,,,,43349
,,,,,,,,,43599
,,,,,,,,,43842
74.0,337.1488468181818,2,239.54794120784348,169.81030580692126,303.48572,327.3,330.2252968249442,170.32144,44001
,,,,,,,,,44037
,,,,,,,,,44316
,,,,,,,,,44524
,,,,,,,,,44843
50.09090909090909,229.9078090909091,1,181.22742571266082,195.7004489415259,295.59436,314.3,255.89566926025762,196.08583,45001
,,,,,,,,,45068
,,,,,,,,,45301
,,,,,,,,,45566
,,,,,,,,,45901
56.63636363636363,269.29487918181815,1,205.10356450054513,158.95889991092696,275.174,307.0,298.92281000965005,160.25746,46001
,,,,,,,,,46141
,,,,,,,,,46355
,,,,,,,,,46551
,,,,,,,,,46711
,,,,,,,,,46836
74.27272727272727,375.8483905454545,2,262.85199775959114,117.66936539781254,270.75296,321.3,313.7280864507125,120.89941,47001
,,,,,,,,,47046
,,,,,,,,,47359
,,,,,,,,,47525
,,,,,,,,,47757
51.45454545454545,265.543109,1,206.77039244354847,166.3328970720216,282.80377,320.8,246.9050815403912,166.62251,48001
,,,,,,,,,48082
,,,,,,,,,48312
,,,,,,,,,48652
,,,,,,,,,48926
70.45454545454545,349.26622336363636,2,250.33513942478578,149.6711977567338,291.64587,323.5,338.4581013800294,149.78798,49001
,,,,,,,,,49234
,,,,,,,,,49468
,,,,,,,,,49690
,,,,,,,,,49911
87.0909090909091,452.01407118181817,2,296.58124037715555,81.82635799300915,258.3338,334.8,375.09435753729883,87.9772,50001
,,,,,,,,,50197
,,,,,,,,,50650
,,,,,,,,,50898
81.54545454545455,353.7802020909091,2,248.75705880837907,90.28451974390076,221.66408,330.7,342.3126009766989,90.37979,51001
,,,,,,,,,51230
,,,,,,,,,51634
,,,,,,,,,51948
84.54545454545455,398.70818481818185,2,267.8234911290846,88.11689368884169,239.8602,336.2,472.01873447764234,114.058014,52001
,,,,,,,,,52303
,,,,,,,,,52577
,,,,,,,,,52888
95.45454545454545,430.0800942727273,3,277.21313335729525,70.02558748866396,226.0185,347.3,341.26066245319583,77.496956,53001
,,,,,,,,,53198
,,,,,,,,,53546
,,,,,,,,,53979
121.81818181818181,553.043464909091,3,319.4116362816381,75.10696286823976,259.36356,378.9,491.06419939510454,77.63438,54001
,,,,,,,,,54305
,,,,,,,,,54594
,,,,,,,,,54867
98.81818181818181,475.6959239090909,3,304.2203500011215,85.32468544557706,260.59927,401.5,600.1371525688106,87.11553,55001
,,,,,,,,,55194
,,,,,,,,,55530
,,,,,,,,,55887
116.54545454545455,567.9245826363638,3,330.10439951863754,50.5983970681093,250.71107,425.6,366.31017718932463,59.875736,56001
,,,,,,,,,56311
,,,,,,,,,56639
95.72727272727273,435.10681636363637,3,284.64365835202256,84.755247024637,242.13022,442.3,477.481517496759,86.88699,57001
,,,,,,,,,57110
,,,,,,,,,57605
110.0909090909091,557.6680144545454,3,328.7828260301742,77.79740964016167,278.95367,465.3,621.6224279588366,79.79441,58001
,,,,,,,,,58084
,,,,,,,,,58428
,,,,,,,,,58753
79.0,405.39522536363637,2,267.47548695104575,158.43221751337975,317.01096,462.5,463.24188616047826,162.3552,59001
,,,,,,,,,59260
,,,,,,,,,59692
98.45454545454545,481.1088079090909,3,301.47599145457804,89.1573774769363,267.2035,476.3,430.3448517325001,91.413506,60001
,,,,,,,,,60022
,,,,,,,,,60449
,,,,,,,,,60903
112.54545454545455,568.5663967272726,3,339.00419554653246,74.23384248226365,276.8987,494.9,624.6419587130341,77.5278,61001
,,,,,,,,,61305
,,,,,,,,,61669
103.36363636363636,474.4766570909091,3,296.56718694886763,65.54860813875439,235.09312,499.8,464.31300677102587,73.75654,62001
,,,,,,,,,62075
,,,,,,,,,62401
,,,,,,,,,62803
103.72727272727273,468.93286763636365,3,295.79315483388973,81.18699995567383,249.0403,493.7,396.8101333693509,86.893005,63001
,,,,,,,,,63210
,,,,,,,,,63531
,,,,,,,,,63921
80.36363636363636,412.1264749090909,2,281.32596619407457,104.43706537021113,269.2847,486.9,419.056620366174,109.95423,64001
,,,,,,,,,64206
,,,,,,,,,64549
,,,,,,,,,64954
78.18181818181819,405.71801790909086,2,276.9042236695954,75.64020364228055,238.91408,467.2,453.1625184600502,84.69421,65001
,,,,,,,,,65249
,,,,,,,,,65524
,,,,,,,,,65931
87.9090909090909,433.9397814545454,2,280.22330720243286,96.24804392330907,257.2239,464.0,888.2042239983471,101.475494,66001
,,,,,,,,,66197
,,,,,,,,,66498
,,,,,,,,,66812
77.0,410.5695337272727,2,279.38152980863913,112.23831168648539,277.939,453.7,434.3810382059217,116.87671,67001
,,,,,,,,,67191
,,,,,,,,,67563
,,,,,,,,,67925
101.9090909090909,522.5496829090908,3,317.19126065894085,77.35994233782772,269.50885,465.0,366.73586189237824,88.814384,68001
,,,,,,,,,68243
,,,,,,,,,68526
,,,,,,,,,68943
116.45454545454545,576.433499,3,337.4784591770784,85.78374743893725,284.85522,476.3,439.2632451176775,94.89786,69001
,,,,,,,,,69227
,,,,,,,,,69578
,,,,,,,,,69907
71.18181818181819,331.5546257272727,2,232.9466343274407,78.68131623920753,206.73561,451.8,380.9281303116507,92.339424,70001
,,,,,,,,,70251
,,,,,,,,,70691
86.9090909090909,442.1841342727273,2,289.4241005019388,85.5739978957773,256.7865,443.5,512.6713543560575,90.89786,71001
,,,,,,,,,71202
,,,,,,,,,71628
,,,,,,,,,71973
100.9090909090909,512.6636650909093,3,316.17984069548856,83.72721767978864,272.88098,450.2,420.8385253393954,94.4471,72001
,,,,,,,,,72324
,,,,,,,,,72784
82.0909090909091,412.81074509090905,2,276.8995421167219,67.04052729976135,231.49814,449.3,462.30042065641237,75.21245,73001
,,,,,,,,,73129
,,,,,,,,,73492
,,,,,,,,,73805
106.9090909090909,525.9115030909092,3,315.1914866242592,79.43120143214374,269.49707,462.7,652.2965699420114,88.37208,74001
,,,,,,,,,74226
,,,,,,,,,74597
,,,,,,,,,74917
124.0,578.2314635454545,4,336.12638405713864,72.40148687320597,268.10495,481.4,604.6478529826054,77.49474,75001
,,,,,,,,,75405
,,,,,,,,,75996
79.36363636363636,402.62073836363635,2,271.24534311146357,98.43972012597551,257.3849,479.0,405.7674896029535,111.019066,76001
,,,,,,,,,76384
,,,,,,,,,76749
86.72727272727273,464.4236783636363,2,305.63585429804283,71.74725857276802,256.05212,473.2,428.59061375209785,85.33049,77001
,,,,,,,,,77221
,,,,,,,,,77716
100.0909090909091,472.0198458181818,3,295.9723745769688,82.07841335971487,253.30206,458.2,570.2126692889373,84.60122,78001
,,,,,,,,,78179
,,,,,,,,,78670
92.9090909090909,439.77925909090914,3,277.37648454607336,92.77384330848204,252.6444,475.2,359.9509084931803,98.20918,79001
,,,,,,,,,79057
,,,,,,,,,79379
,,,,,,,,,79870
117.36363636363636,585.0120587272727,3,339.81186092223163,79.79205023188457,285.84088,489.9,407.89390056634494,82.315605,80001
,,,,,,,,,80291
,,,,,,,,,80783
104.0,508.5632420000001,3,312.9148911214066,84.02574847105114,269.35938,487.3,586.529409537097,97.850876,81001
,,,,,,,,,81209
,,,,,,,,,81503
,,,,,,,,,81997
113.9090909090909,570.3246136363637,3,337.5027207797714,79.5085116416406,282.8429,502.5,602.1128327973843,86.03268,82001
,,,,,,,,,82409
,,,,,,,,,82770
98.81818181818181,481.4994529090909,3,304.39516408888596,122.13922245706186,298.57864,500.3,520.1995877464535,125.22409,83001
,,,,,,,,,83205
,,,,,,,,,83657
115.54545454545455,607.1421897272727,3,355.7163240570459,71.35275085152922,290.42657,503.8,567.9098584014737,83.84012,84001
,,,,,,,,,84041
,,,,,,,,,84505
,,,,,,,,,84942
127.0,641.1141493636364,4,353.2508412997038,66.8966629306961,285.6042,526.2,682.9042094588254,76.079094,85001
,,,,,,,,,85314
,,,,,,,,,85571
,,,,,,,,,85933
88.54545454545455,413.25552190909093,2,273.34468907180735,66.5975706946586,220.08813,524.2,394.19405952510857,79.63313,86001
,,,,,,,,,86241
,,,,,,,,,86669
100.45454545454545,491.4695243636363,3,309.90772771715837,84.94559201544408,265.1155,525.7,469.88250838440143,89.97165,87001
,,,,,,,,,87131
,,,,,,,,,87627
149.72727272727272,746.5509652727272,5,368.9865627932695,87.94837778320992,320.14172,556.5,583.093220818187,96.952995,88001
,,,,,,,,,88003
,,,,,,,,,88541
121.63636363636364,608.4659243636363,3,344.1406683180216,132.16648603176884,340.2573,560.8,665.3819659206658,134.52988,89001
,,,,,,,,,89011
,,,,,,,,,89523
,,,,,,,,,89842
98.0909090909091,488.5266660000001,3,307.97737107980873,107.14954687950254,289.78076,559.7,533.2283010209829,108.55896,90001
,,,,,,,,,90183
,,,,,,,,,90537
,,,,,,,,,90928
119.72727272727273,600.5692573636364,3,342.94385372515313,64.85147787151017,271.3512,563.5,614.8795790738949,73.439644,91001
,,,,,,,,,91460
,,,,,,,,,91975
122.27272727272727,616.1700460000001,4,349.1626934896071,84.93900068670753,298.38632,577.2,527.6186183079878,87.9842,92001
,,,,,,,,,92473
133.8181818181818,672.2983198181818,4,365.2582411228146,73.59585915605989,296.7577,585.4,696.2066803880012,86.1952,93001
,,,,,,,,,93123
,,,,,,,,,93635
148.36363636363637,747.4569200909092,4,379.03317064244334,52.810882651975106,292.17923,597.4,679.0683470805309,62.202183,94001
,,,,,,,,,94092
,,,,,,,,,94641
134.9090909090909,669.9375295454545,4,363.93512171379916,47.82198658175309,273.52698,624.3,481.9593564623278,67.81433,95001
,,,,,,,,,95238
,,,,,,,,,95649
106.45454545454545,548.2611436363636,3,330.9318540020949,69.03211653466225,270.2513,632.0,480.75216477266684,81.83642,96001
,,,,,,,,,96019
,,,,,,,,,96505
133.0909090909091,686.5841895454546,4,370.2881168784566,83.39707361149834,315.5696,625.3,592.4886342026481,89.88862,97001
,,,,,,,,,97020
,,,,,,,,,97464
111.81818181818181,579.1390088181818,3,343.65873474477877,84.93857386179153,295.3174,623.9,475.8613945724908,95.442024,98001
,,,,,,,,,98038
,,,,,,,,,98641
120.72727272727273,620.558250090909,4,356.2433523786207,75.48112887129241,294.08273,636.4,754.3541652503046,85.314156,99001
,,,,,,,,,99159
,,,,,,,,,99679
145.0,714.7378253636365,4,376.8303463766152,61.08725751224385,293.57104,648.2,640.2128841057522,77.04347,100001
,,,,,,,,,100315
,,,,,,,,,100940
114.72727272727273,599.3062592727273,3,347.1254020584463,81.25022988527256,296.8792,647.2,624.6906831926724,84.794846,101001
,,,,,,,,,101490
165.63636363636363,799.7217022727273,5,390.1955414262064,49.069784147948525,291.24445,661.2,735.3684146094596,59.432312,102001
,,,,,,,,,102213
,,,,,,,,,102935
137.54545454545453,672.9865105454545,4,359.27049275598824,79.75246725286644,299.14545,659.1,561.7537177321132,85.196785,103001
,,,,,,,,,103514
108.18181818181819,509.8096604545454,3,305.3211847633976,93.91727336788945,271.40005,636.8,461.07423730599595,107.81479,104001
,,,,,,,,,104058
,,,,,,,,,104695
141.8181818181818,713.1089479090908,4,365.41357294998767,54.47325849656514,284.34573,654.3,509.42918698146195,69.53691,105001
,,,,,,,,,105431
,,,,,,,,,105937
128.54545454545453,667.6742445454546,4,366.7110244001296,68.14421285019296,298.80438,653.0,580.9362667190028,73.88788,106001
,,,,,,,,,106507
110.36363636363636,566.4612456363636,3,335.8974469000424,88.56338634944933,292.52396,647.9,735.7853517023397,97.91865,107001
,,,,,,,,,107006
,,,,,,,,,107595
118.45454545454545,609.8073628181819,3,346.5437198325925,80.64800900807545,294.29794,654.8,472.31329883938974,88.36077,108001
,,,,,,,,,108126
,,,,,,,,,108704
143.45454545454547,728.9273617272728,4,349.9997110610024,62.33029653326198,285.51443,653.0,492.5773219474505,74.88415,109001
,,,,,,,,,109107
,,,,,,,,,109838
148.8181818181818,727.1451660909091,4,376.7702958881225,60.576224386975355,294.46582,663.8,637.7734023000511,69.64522,110001
,,,,,,,,,110390
,,,,,,,,,110984
151.63636363636363,761.3594654545457,4,382.6343047825214,71.22410816101412,311.56036,658.7,972.7649639568597,81.67039,111001
,,,,,,,,,111660
191.0,946.616033909091,6,408.1593672789564,50.97472972255454,316.68054,676.6,1852.2707522622604,62.971592,112001
,,,,,,,,,112262
,,,,,,,,,112880
165.9090909090909,845.5847472727273,5,395.84904877252296,68.9564744519279,323.09918,725.5,683.8064998676962,79.48908,113001
,,,,,,,,,113424
164.54545454545453,836.9161659090908,5,393.8675965078923,90.14195804174946,342.90915,746.0,409.1103897590964,97.825905,114001
,,,,,,,,,114042
,,,,,,,,,114581
143.54545454545453,730.4105119090908,4,369.895192096228,74.20544158608149,311.87918,748.7,790.3354046269633,78.97806,115001
,,,,,,,,,115315
,,,,,,,,,115968
149.8181818181818,742.5432582727273,5,375.2510930097167,66.95144670268496,301.66287,769.1,703.1596203179624,82.55961,116001
,,,,,,,,,116518
151.8181818181818,770.0660647272726,5,385.1779606983139,52.25077079240887,294.3209,785.2,515.186195821477,71.782906,117001
,,,,,,,,,117211
148.54545454545453,747.0817416363636,4,380.1630845217625,57.65789508734221,296.9574,804.8,633.0791046675195,71.98585,118001
,,,,,,,,,118054
,,,,,,,,,118620
165.1818181818182,818.702031090909,5,400.9925928931223,70.89639125510581,322.74182,796.6,957.6077483436654,75.56119,119001
,,,,,,,,,119329
180.27272727272728,879.0579251818182,6,396.2653044292338,59.94080946273054,310.54715,811.4,900.5937376968137,73.75872,120001
,,,,,,,,,120041
,,,,,,,,,120606
145.8181818181818,754.7514506363636,4,382.122462044305,75.122064912543,319.60178,800.2,935.4549833439066,91.87023,121001
,,,,,,,,,121317
,,,,,,,,,121996
155.0,730.8160843636364,5,362.2262219764211,45.78187988765714,268.6725,770.7,1359.81335143365,65.86385,122001
,,,,,,,,,122700
149.8181818181818,726.3928359999999,4,365.9193362271012,57.13589715693254,284.7429,767.5,529.5959588627011,70.158615,123001
,,,,,,,,,123508
