total timesteps,eval_returns,eval_time_elapsed,eval mean 100 episode reward,eval_ep_rewmean,eval_discount_q,eval_abs_qs_difference,eval_eplenmean,eval_qs_difference,eval_qs
20001,2.060007237695228,0,2.2,2.455757818181818,3.215852694158628,3.5370667,23.454545454545453,2.8744814467514668,-0.23163377
20046,,,,,,,,,
20136,,,,,,,,,
20206,,,,,,,,,
20285,,,,,,,,,
20379,,,,,,,,,
20464,,,,,,,,,
20535,,,,,,,,,
20625,,,,,,,,,
20738,,,,,,,,,
20802,,,,,,,,,
20874,,,,,,,,,
21001,2.5252337241006106,0,2.3,2.748767909090909,3.49674930450543,3.562335,23.727272727272727,2.772478516493851,-0.23495373
21014,,,,,,,,,
21095,,,,,,,,,
21200,,,,,,,,,
21302,,,,,,,,,
21371,,,,,,,,,
21462,,,,,,,,,
21530,,,,,,,,,
21596,,,,,,,,,
21682,,,,,,,,,
21769,,,,,,,,,
21853,,,,,,,,,
21926,,,,,,,,,
22001,2.967559804275934,0,2.3,2.097235181818182,2.874606768067187,3.5502114,23.09090909090909,3.0150295066305826,-0.2356839
22041,,,,,,,,,
22107,,,,,,,,,
22168,,,,,,,,,
22260,,,,,,,,,
22394,,,,,,,,,
22494,,,,,,,,,
22606,,,,,,,,,
22677,,,,,,,,,
22768,,,,,,,,,
22848,,,,,,,,,
22946,,,,,,,,,
23001,2.2150535382209915,0,2.2,2.0683474545454548,2.837940782873898,3.548809,22.818181818181817,3.0197147859576274,-0.23109776
23042,,,,,,,,,
23169,,,,,,,,,
23250,,,,,,,,,
23322,,,,,,,,,
23405,,,,,,,,,
23493,,,,,,,,,
23582,,,,,,,,,
23659,,,,,,,,,
23742,,,,,,,,,
23805,,,,,,,,,
23905,,,,,,,,,
23988,,,,,,,,,
24001,2.3759194453285346,0,2.3,2.310392272727273,3.077416846388256,3.5463188,23.272727272727273,2.933674422858701,-0.23580027
24066,,,,,,,,,
24132,,,,,,,,,
24218,,,,,,,,,
24333,,,,,,,,,
24389,,,,,,,,,
24451,,,,,,,,,
24506,,,,,,,,,
24593,,,,,,,,,
24672,,,,,,,,,
24747,,,,,,,,,
24817,,,,,,,,,
24876,,,,,,,,,
24968,,,,,,,,,
25001,58.58886935776369,5,11.0,86.8779668181818,60.1656934621192,25.657204,200.45454545454547,-13.454718447946437,-1.0722648
25365,,,,,,,,,
26001,114.956454693891,5,21.6,103.89656218181818,60.84905138177908,21.786812,195.54545454545453,6.734171291020235,25.270208
26081,,,,,,,,,
26870,,,,,,,,,
27001,53.11520402225297,6,46.1,219.31481790909092,84.18158564951615,41.904118,225.8181818181818,6.389042832932882,62.329796
27613,,,,,,,,,
28001,311.5769920172478,5,79.2,326.0726319090909,115.00840331075216,35.54979,190.45454545454547,-20.27055852239924,91.12378
28499,,,,,,,,,
29001,272.48284592901393,4,109.5,274.01185209090903,119.94654236252026,51.60634,153.0909090909091,51.606333535769686,153.01909
29149,,,,,,,,,
29849,,,,,,,,,
30001,287.36875191180576,4,141.9,298.50163999999995,123.8671200979781,55.563675,162.0,55.56367455264181,164.00577
30469,,,,,,,,,
31001,317.8547694714324,4,177.8,332.20862363636365,132.9084005099944,51.540955,167.1818181818182,51.54095213264383,171.47789
31032,,,,,,,,,
31689,,,,,,,,,
32001,509.3736736695355,8,215.1,358.03706,91.65959455695324,84.95147,299.6363636363636,84.93632769231446,170.52208
32387,,,,,,,,,
33001,322.11773684271225,5,255.5,352.53570327272723,123.39612097693643,58.168114,200.72727272727272,54.82274084194825,169.52686
33518,,,,,,,,,
34001,375.2707249611961,6,290.4,397.30416754545456,125.72716641309351,67.59693,228.72727272727272,67.59692900480144,186.86118
34394,,,,,,,,,
35001,459.17287956886423,7,325.6,428.41398327272725,122.36681789314986,72.34156,254.63636363636363,72.30441406549556,192.96646
35520,,,,,,,,,
36001,110.52534583935234,5,343.3,348.11604154545455,126.74273395805015,88.2577,196.8181818181818,88.25293140066121,199.82944
36367,,,,,,,,,
37001,378.57364735260063,6,354.2,407.6982615454546,137.4836457768058,83.46907,211.9090909090909,83.29773135459396,211.24352
37105,,,,,,,,,
37784,,,,,,,,,
38001,317.1768941041919,3,356.2,294.28141163636366,143.2518725119637,94.15779,137.27272727272728,92.92599040361641,203.48827
38476,,,,,,,,,
38991,,,,,,,,,
39001,221.1578176010271,3,351.0,239.60482999999996,124.70508299872367,129.72668,121.45454545454545,129.7149179043783,224.64815
39864,,,,,,,,,
40001,236.27679181854984,4,356.3,374.24256499999996,147.62349213865403,74.3457,170.72727272727272,56.71979563903582,188.60602
40557,,,,,,,,,
41001,337.59168928635756,5,355.7,335.1116679090909,131.93828779015993,92.62985,176.36363636363637,92.08998127870477,207.69254
41181,,,,,,,,,
41932,,,,,,,,,
42001,274.4288006385944,4,340.8,236.490416,108.90135651424312,125.070145,143.36363636363637,125.06595660026336,213.39546
43001,260.55916457637625,4,329.5,285.68407136363635,133.84951360491087,114.31966,147.1818181818182,114.31965151866461,218.22003
43577,,,,,,,,,
44001,297.86631820479107,4,317.7,306.285692,137.58467006549233,100.59705,160.27272727272728,100.42933609487233,205.91273
44175,,,,,,,,,
44860,,,,,,,,,
45001,100.8284053208051,5,313.5,334.4058353636364,129.47192010900113,101.50101,193.1818181818182,101.25617654355437,205.57074
45659,,,,,,,,,
46001,389.403846236524,5,311.3,389.5159788181818,133.5993683425122,86.37546,209.72727272727272,86.03336895949634,208.69362
46346,,,,,,,,,
47001,221.11077024791828,6,318.6,361.0716747272727,122.31243636668083,85.15965,217.0,83.25305990391998,192.50679
47099,,,,,,,,,
48001,259.21615514616695,5,316.4,234.6242659090909,86.03522386267612,127.25491,205.72727272727272,125.38000718686489,192.24774
48633,,,,,,,,,
49001,58.05030087142575,3,287.2,77.75995427272727,45.95418651254194,175.3314,106.72727272727273,175.3314011261408,204.18994
49326,,,,,,,,,
49966,,,,,,,,,
50001,245.8502892745495,4,277.7,259.7512636363636,125.09698680319981,88.221725,143.72727272727272,88.09620234565199,180.93608
50812,,,,,,,,,
51001,318.2934516354542,4,282.5,308.30495427272723,142.18310915870524,72.915054,151.0,70.55677989715738,181.03185
51383,,,,,,,,,
52001,311.4018015190216,4,289.7,339.0871616363636,146.84191128819458,48.897587,161.36363636363637,44.97800644223267,164.93402
52041,,,,,,,,,
52827,,,,,,,,,
53001,531.5376196807842,7,289.9,322.9892771818182,99.76129793105427,107.22846,254.0909090909091,105.54677053836157,187.2267
53972,,,,,,,,,
54001,945.6596629613484,16,305.7,532.4969490000001,74.03834445436723,144.91512,594.0,144.91469798496271,201.67007
54684,,,,,,,,,
55001,480.8007604403581,8,310.4,358.36311463636366,64.24467121347885,111.04786,297.27272727272725,108.53434292506257,187.88776
56001,489.2572165854907,16,333.9,589.1117542727272,76.81231450262014,116.09829,592.9090909090909,115.4357960448248,204.67216
56186,,,,,,,,,
57001,665.0153144069219,6,373.9,623.4024623636363,182.91936354917746,40.229084,234.54545454545453,37.581518056935785,225.90327
57124,,,,,,,,,
58001,1197.1905401751346,7,429.0,656.4818465454545,184.27804528040517,54.666317,273.3636363636364,53.03240195505155,235.83028
58325,,,,,,,,,
59001,22.22915601005734,4,438.8,215.7073018181818,76.84258243837057,148.39081,163.63636363636363,141.93371439101188,197.85811
59210,,,,,,,,,
60001,684.7762540699522,6,463.6,584.9564777272728,187.0395177000281,59.17142,216.0909090909091,53.18381866626646,237.375
60087,,,,,,,,,
61001,640.3694975945341,6,489.1,560.5550079090909,172.61887829244228,78.20081,211.72727272727272,71.3582221654775,240.0502
61252,,,,,,,,,
62001,636.4049023619713,6,523.5,623.2468229090908,182.73379629848105,73.23674,234.45454545454547,71.96209527639827,260.5871
62083,,,,,,,,,
63001,510.63601485241537,4,525.6,519.8881685454545,195.44243314609122,73.48575,182.0,63.86206154513493,240.94977
63004,,,,,,,,,
63709,,,,,,,,,
64001,583.4119671904411,5,535.4,495.1248380909091,182.15487191877526,79.219795,187.27272727272728,75.30354016011299,241.21739
64406,,,,,,,,,
65001,678.3322580019637,6,552.5,680.8320630909092,210.69483365857477,63.161877,228.0909090909091,56.21578962226208,261.87756
65265,,,,,,,,,
