eval_time_elapsed,eval_discount_q,eval_qs,total timesteps,eval_qs_difference,eval_ep_rewmean,eval_eplenmean,eval_abs_qs_difference,eval_returns,eval mean 100 episode reward
5,172.30413085968036,209.71173,64001,49.96790230149536,494.1817661818182,202.45454545454547,50.45493,484.79198072275864,431.5
,,,64389,,,,,,
5,162.37964031617267,205.82782,65001,62.23269920336443,435.9314404545454,190.54545454545453,63.38518,351.1661756027661,425.2
,,,65195,,,,,,
,,,65874,,,,,,
4,161.39962142291984,219.21242,66001,79.6900556727684,394.12404654545446,167.9090909090909,80.28993,385.79780442059695,426.4
,,,66595,,,,,,
6,177.3131573517526,208.90704,67001,33.27247661014767,551.9977807272727,213.45454545454547,35.16202,575.7819892497004,438.6
,,,67375,,,,,,
4,169.3763133981616,206.35143,68001,54.479662271630644,430.3057016363636,172.0,55.818844,388.4147595634735,452.7
,,,68188,,,,,,
5,142.20980931659125,197.32611,69001,53.78484011662729,418.3924522727273,188.45454545454547,57.661423,202.0193819682115,447.9
,,,69046,,,,,,
,,,69897,,,,,,
5,166.79496276983846,203.18883,70001,52.7147035481132,436.59665527272733,176.9090909090909,56.12864,577.13342769042,444.3
,,,70686,,,,,,
6,188.07288825725627,221.60089,71001,33.877123057437274,625.4782942727273,232.0,37.643497,624.7065913236237,462.3
,,,71454,,,,,,
5,191.88177635661333,217.11281,72001,38.61949745955914,558.4630633636364,202.63636363636363,43.356533,527.5844435609476,480.0
,,,72153,,,,,,
,,,72992,,,,,,
5,193.7160204942039,198.63763,73001,17.002164785003494,527.5650265454545,183.8181818181818,25.874773,355.9104725324727,488.2
,,,73826,,,,,,
7,172.04852093547564,215.91197,74001,29.352941921852995,642.1624018181819,250.72727272727272,33.12891,579.8765721224974,506.4
,,,74615,,,,,,
5,184.70794650856934,220.41504,75001,49.36269149052122,520.4399778181818,197.0,49.743496,605.3366231283073,520.0
,,,75191,,,,,,
5,177.68401329646835,222.34024,76001,67.79917994802737,449.0663468181819,175.9090909090909,67.96569,366.29233342067783,514.1
,,,76002,,,,,,
,,,76879,,,,,,
5,182.20690027427236,220.51953,77001,54.87217900482826,497.0991006363636,189.8181818181818,55.438175,513.7767491913331,517.0
,,,77500,,,,,,
3,158.59796209582984,184.70047,78001,53.979211360729344,342.4762272727273,135.36363636363637,61.27705,266.4817991136912,510.7
,,,78183,,,,,,
,,,78896,,,,,,
3,130.70063663516376,213.28072,79001,107.95653648927964,287.57712327272725,120.36363636363636,108.47309,147.0367924986106,497.4
,,,79582,,,,,,
3,146.04700430559777,212.99345,80001,90.57523498322747,340.90782109090907,134.8181818181818,92.44226,418.4390798033098,467.1
,,,80111,,,,,,
,,,80775,,,,,,
4,154.51477632464832,220.49707,81001,79.3237256450155,415.2818261818182,165.8181818181818,80.648445,443.802132896118,448.5
,,,81408,,,,,,
,,,81908,,,,,,
