eval_returns,eval_eplenmean,eval_qs_difference,eval_abs_qs_difference,eval_ep_rewmean,total timesteps,eval_time_elapsed,eval_qs,eval mean 100 episode reward,eval_discount_q
679.7732457414918,222.9090909090909,95.64072435335787,96.07482,703.7059958181818,118001,6,300.93546,607.2,235.09349849442012
,,,,,118613,,,,
667.8280354802265,214.54545454545453,105.048830718611,106.10479,673.3824403636364,119001,6,309.71597,657.9,236.4442902621995
,,,,,119550,,,,
1563.240233126566,280.72727272727275,41.21537442547253,50.895847,950.9130428181819,120001,8,285.74283,722.7,251.990083239104
,,,,,120512,,,,
771.0561367420871,244.54545454545453,64.31178752108484,68.441124,834.8385589999999,121001,7,301.12637,795.0,256.5648154756976
,,,,,121536,,,,
795.7253801218988,228.0909090909091,78.3129841462336,81.38049,775.0450301818182,122001,6,303.12393,794.7,253.98100395806716
,,,,,122396,,,,
946.0008580408064,252.1818181818182,82.95688977021955,88.714836,807.3289263636362,123001,7,304.61417,808.4,244.00531867396282
,,,,,123317,,,,
550.3528218310475,235.63636363636363,71.05602114748739,77.5275,708.1259184545455,124001,7,269.65427,813.1,223.11282167687443
,,,,,124100,,,,
884.8180671074923,258.54545454545456,40.30955394452423,48.411816,916.66214,125001,7,291.48074,841.4,266.2789758516091
,,,,,125001,,,,
,,,,,125932,,,,
1786.0313363368712,296.0,69.50497723819984,71.04789,1009.5055634545456,126001,8,317.88516,820.0,257.99807324566046
682.703855059356,246.63636363636363,74.81392510092276,78.21464,828.0374176363638,127001,7,304.085,831.9,249.0962796582772
,,,,,127063,,,,
960.6648408746511,267.27272727272725,52.652139932108255,54.882713,962.4273566363637,128001,7,307.0553,860.9,279.40200183088825
,,,,,128070,,,,
,,,,,128902,,,,
807.2028718457079,251.63636363636363,69.49003840779125,70.48339,850.3435262727272,129001,7,300.58508,862.2,259.2596892933132
,,,,,129766,,,,
684.3447844730371,212.0,32.999450542036804,42.31726,822.1413183636364,130001,6,287.81784,854.7,280.16076092690804
,,,,,130936,,,,
517.7228836798777,153.1818181818182,79.79632938584243,86.94671,517.9373166363636,131001,4,267.5784,827.1,230.31896480740124
,,,,,131635,,,,
322.23172467362883,177.1818181818182,102.88265956461231,104.82556,546.9132004545454,132001,5,278.9253,801.7,231.37635209014917
,,,,,132256,,,,
,,,,,132981,,,,
469.99897659117215,154.8181818181818,106.02049902903633,109.36668,476.40891500000004,133001,4,268.8408,769.6,218.04023158228
,,,,,133821,,,,
1137.7553551717365,209.72727272727272,89.28897414162428,95.09256,679.3193883636363,134001,6,293.02545,741.3,237.08308851833087
,,,,,134632,,,,
710.2626601899705,134.0909090909091,118.10494945504614,123.76154,465.374124,135001,3,278.96936,694.0,202.9875393693127
,,,,,135073,,,,
,,,,,135546,,,,
408.16248567302983,110.0,123.3090495941035,124.83536,361.17121145454547,136001,3,272.3491,637.3,195.17151965725833
,,,,,136110,,,,
,,,,,136753,,,,
