eval_returns,eval_time_elapsed,eval_qs,eval_abs_qs_difference,eval_discount_q,eval_qs_difference,eval_eplenmean,total timesteps,eval_ep_rewmean,eval mean 100 episode reward
,,,,,,,29193,,
,,,,,,,29357,,
,,,,,,,29639,,
,,,,,,,29889,,
220.00162235347258,1,275.73715,171.9014,183.4378313651311,171.71416564353063,45.72727272727273,30001,229.68607572727277,188.3
,,,,,,,30116,,
,,,,,,,30371,,
,,,,,,,30572,,
,,,,,,,30733,,
,,,,,,,30914,,
304.2931329879122,2,291.05643,179.64896,204.5909954371782,179.6354401478974,60.0,31001,270.13553445454545,205.1
,,,,,,,31068,,
,,,,,,,31243,,
,,,,,,,31429,,
,,,,,,,31620,,
,,,,,,,31856,,
306.3736999232877,2,339.1248,203.90048,232.98834115339758,203.90046518303387,65.0,32001,318.95436445454544,227.9
,,,,,,,32143,,
,,,,,,,32416,,
,,,,,,,32626,,
,,,,,,,32847,,
276.7547163784015,1,297.03952,179.59264,219.1564169672225,172.4517140114649,58.72727272727273,33001,291.3120625454545,248.1
,,,,,,,33052,,
,,,,,,,33264,,
,,,,,,,33517,,
,,,,,,,33763,,
,,,,,,,33990,,
264.75352217283324,1,296.50656,170.7668,216.71361838743448,170.61538646274218,53.09090909090909,34001,281.449896,271.4
,,,,,,,34266,,
,,,,,,,34501,,
,,,,,,,34755,,
317.1469030642895,2,383.82196,254.20068,243.7405459280506,253.27749838660492,79.36363636363636,35001,345.4697587272727,288.6
,,,,,,,35040,,
,,,,,,,35347,,
,,,,,,,35549,,
,,,,,,,35808,,
,,,,,,,35971,,
251.85525193394565,1,303.5465,188.98677,200.5852260186145,188.98674210327107,49.45454545454545,36001,255.66363781818183,289.7
,,,,,,,36162,,
,,,,,,,36395,,
,,,,,,,36565,,
,,,,,,,36739,,
207.26433461143506,1,199.62206,98.035576,179.0542491439592,96.93148591472165,42.54545454545455,37001,221.2057789090909,284.3
,,,,,,,37005,,
,,,,,,,37151,,
,,,,,,,37335,,
,,,,,,,37502,,
,,,,,,,37690,,
,,,,,,,37918,,
312.030816641116,2,322.1776,210.9544,209.99156667438746,210.22919043896798,64.45454545454545,38001,280.8091781818182,278.1
,,,,,,,38152,,
,,,,,,,38418,,
,,,,,,,38736,,
362.07163791868226,3,283.35574,101.516815,313.2461158754622,94.6781921064955,97.45454545454545,39001,498.9380004545454,305.1
,,,,,,,39074,,
,,,,,,,39407,,
,,,,,,,39746,,
328.77694539980354,2,241.1457,102.68574,251.17029254052838,92.71859746342392,64.0,40001,344.0735854545455,314.4
,,,,,,,40038,,
,,,,,,,40365,,
,,,,,,,40696,,
224.99480534270705,2,247.0891,139.9422,210.36560286555957,135.87873499212014,63.45454545454545,41001,279.7807800909091,311.5
,,,,,,,41041,,
,,,,,,,41300,,
,,,,,,,41453,,
,,,,,,,41678,,
,,,,,,,41905,,
193.1336776242138,1,247.68602,140.84479,187.86535602704544,140.65192627386753,49.36363636363637,42001,240.738598,305.6
,,,,,,,42168,,
,,,,,,,42482,,
,,,,,,,42722,,
272.03594138396056,2,219.21027,73.03218,267.7876166428037,58.28220311768871,76.9090909090909,43001,394.7552448181818,317.5
,,,,,,,43067,,
,,,,,,,43459,,
,,,,,,,43726,,
,,,,,,,43955,,
518.7147508776244,3,315.1378,123.90594,327.3057198502018,122.02482268515337,111.63636363636364,44001,546.3332601818182,338.6
,,,,,,,44200,,
,,,,,,,44555,,
,,,,,,,44869,,
371.1208394980176,2,242.89764,87.37748,264.38819576673865,86.47363498928001,67.63636363636364,45001,368.37840145454544,350.4
,,,,,,,45173,,
,,,,,,,45441,,
,,,,,,,45679,,
,,,,,,,45985,,
350.37410508792055,3,263.67093,104.446365,287.2918539970239,99.01790211043003,93.45454545454545,46001,443.62351481818183,374.6
,,,,,,,46387,,
,,,,,,,46691,,
532.642928304612,3,244.37418,66.24732,310.3781791146975,56.46107058486323,108.0909090909091,47001,518.4681263636364,400.8
