eval mean 100 episode reward,eval_qs_difference,total timesteps,eval_ep_rewmean,eval_returns,eval_time_elapsed,eval_qs,eval_discount_q,eval_abs_qs_difference,eval_eplenmean
,,31406,,,,,,,
218.6,96.34256561638223,32001,296.8409735454545,87.6792156780786,5,191.09795,100.09612009074317,96.34256,188.0909090909091
,,32130,,,,,,,
249.8,93.35703681756482,33001,306.04861854545453,298.6859667701578,4,204.94696,124.46889155988966,93.35703,163.8181818181818
,,33093,,,,,,,
,,33781,,,,,,,
275.2,97.1846692073811,34001,294.9351672727273,303.6187319738239,4,203.39561,122.00208062985958,97.18467,163.9090909090909
,,34589,,,,,,,
284.3,127.53818950551361,35001,162.39485136363635,179.3385714646875,2,194.96852,98.28856719323048,127.61386,95.45454545454545
,,35029,,,,,,,
,,35591,,,,,,,
309.7,88.39483077108278,36001,386.5586573636364,358.14928117282085,6,203.9434,117.34874351845883,89.04273,233.27272727272728
,,36110,,,,,,,
,,36971,,,,,,,
326.1,122.35688960975199,37001,440.29078309090914,431.06530292245134,12,201.56744,91.74517493308544,124.44011,418.45454545454544
323.4,119.12402841235608,38001,284.60664990909095,285.6683962589777,4,221.11865,117.98639589304148,119.12402,164.0909090909091
318.6,81.25513069979307,39001,349.3995474545454,367.87681270328653,5,201.23495,134.46406385916603,85.30627,180.0909090909091
,,39197,,,,,,,
,,39790,,,,,,,
318.8,58.45213107928126,40001,348.0154391818182,361.60425427237,4,188.17398,153.43609592548992,66.79277,150.9090909090909
,,40362,,,,,,,
312.1,123.51336929233781,41001,242.66682145454544,213.1317034842341,3,213.54042,118.99043373707705,123.51335,138.0
,,41018,,,,,,,
,,41468,,,,,,,
308.5,107.58410325561694,42001,267.3179348181818,286.93949937753035,4,205.91884,120.04498308670651,108.20244,149.36363636363637
,,42069,,,,,,,
,,42637,,,,,,,
298.4,142.63428332377592,43001,194.7124631818182,203.76660796270605,3,223.14154,105.32740553545285,142.64745,111.0
,,43126,,,,,,,
,,43705,,,,,,,
