eval_abs_qs_difference,total timesteps,eval_ep_rewmean,eval_discount_q,eval_eplenmean,eval_returns,eval mean 100 episode reward,eval_qs_difference,eval_time_elapsed,eval_qs
13.006448,27001,-54.695626272727274,-34.63960225816773,100.0,-61.416574446600436,-144.8,12.28696560844337,1,-8.115455
,27200,,,,,,,,
,27600,,,,,,,,
,28000,,,,,,,,
12.033926,28001,-54.42756345454545,-35.14492024665903,100.0,-58.50127152441756,-133.8,10.973517700047053,1,-8.660575
,28400,,,,,,,,
,28800,,,,,,,,
32.94018,29001,-78.12222218181817,-46.375388214497086,100.0,-69.05391687767592,-125.0,32.94018181097078,1,0.729594
,29200,,,,,,,,
,29600,,,,,,,,
,30000,,,,,,,,
14.856826,30001,-51.75147745454546,-33.433839671773285,100.0,-45.70068270166728,-114.5,14.712180041290953,1,-3.9397962
,30400,,,,,,,,
,30800,,,,,,,,
12.224842,31001,-50.53184581818182,-32.47227857198851,100.0,-40.755879096771,-103.7,11.56562321816812,1,-6.8186665
,31200,,,,,,,,
,31600,,,,,,,,
,32000,,,,,,,,
19.357008,32001,-63.120846,-39.915336260421014,100.0,-52.80771093195839,-93.3,19.0906676548703,1,-4.5139956
,32400,,,,,,,,
,32800,,,,,,,,
17.721611,33001,-61.36920127272728,-38.68293763984776,100.0,-51.60171256503623,-83.4,17.308358183080973,1,-5.7647347
,33200,,,,,,,,
,33600,,,,,,,,
,34000,,,,,,,,
18.417894,34001,-67.10777536363635,-42.60211799452459,100.0,-66.78891173370211,-63.8,17.698660617338046,1,-7.2330184
,34400,,,,,,,,
,34800,,,,,,,,
18.7634,35001,-65.73125809090908,-41.217216951143875,100.0,-65.79991111133614,-60.7,18.627484236532897,1,-6.298729
,35200,,,,,,,,
,35600,,,,,,,,
,36000,,,,,,,,
18.700182,36001,-70.44189154545454,-44.426932137543936,100.0,-81.10756802584213,-62.3,18.502802812027404,1,-7.9564257
,36400,,,,,,,,
,36800,,,,,,,,
20.73809,37001,-67.66659772727273,-42.452794011330454,100.0,-72.79513511997267,-63.7,20.351571831949354,1,-5.2867594
,37200,,,,,,,,
,37600,,,,,,,,
,38000,,,,,,,,
15.963268,38001,-66.39305390909091,-42.42241707589489,100.0,-69.93290547603983,-62.8,15.131453862782182,1,-9.263407
,38400,,,,,,,,
,38800,,,,,,,,
17.30946,39001,-60.27420590909091,-37.9482631829741,100.0,-78.0199100813613,-63.2,16.551670212534813,1,-6.153755
,39200,,,,,,,,
,39600,,,,,,,,
,40000,,,,,,,,
17.405445,40001,-66.80323918181817,-42.11179843549356,100.0,-62.91534630536692,-65.0,16.306500345418005,1,-8.806058
