eval_ep_rewmean,eval_returns,eval_eplenmean,eval_discount_q,eval_time_elapsed,eval mean 100 episode reward,total timesteps,eval_abs_qs_difference,eval_qs_difference,eval_qs
,,,,,,57351,,,
,,,,,,57675,,,
419.11927627272723,392.84992612497695,78.72727272727273,287.52414780296635,2,425.9,58001,114.861015,108.14104709015731,278.27863
,,,,,,58176,,,
,,,,,,58515,,,
,,,,,,58742,,,
472.021293090909,565.0170366202857,94.81818181818181,298.04721201167973,3,427.2,59001,113.77166,106.35093976297276,282.91437
,,,,,,59154,,,
,,,,,,59610,,,
,,,,,,59981,,,
482.1595024545455,559.8515390055561,94.45454545454545,307.2478872332835,3,432.5,60001,88.11802,83.29985871258529,268.0245
,,,,,,60396,,,
,,,,,,60840,,,
489.72955072727274,612.0598754239136,94.72727272727273,310.049868563087,3,432.8,61001,74.51916,65.88518454789131,254.59837
,,,,,,61229,,,
,,,,,,61545,,,
,,,,,,61920,,,
521.5772375454545,391.3294263564932,109.72727272727273,313.94546383305436,3,440.0,62001,100.65776,97.96635315115908,281.20895
,,,,,,62283,,,
,,,,,,62662,,,
,,,,,,62956,,,
432.12873172727274,631.5477855898864,87.0,285.75012614530516,2,442.0,63001,72.20178,68.31622062009468,235.43459
,,,,,,63467,,,
,,,,,,63831,,,
424.76563063636354,476.61953699165485,94.27272727272727,274.793133340406,3,438.9,64001,117.98745,110.34542128929685,264.51688
,,,,,,64234,,,
,,,,,,64740,,,
336.9826934545454,254.54956656524743,71.36363636363636,234.32477882540834,2,448.1,65001,107.959915,104.703763446715,236.26463
,,,,,,65076,,,
,,,,,,65482,,,
,,,,,,65793,,,
449.7961171818182,470.45624944502265,87.9090909090909,293.9868078886193,2,446.7,66001,120.562675,117.16848693011447,290.53418
,,,,,,66236,,,
,,,,,,66789,,,
442.15398909090914,437.18723509689045,84.54545454545455,292.6632093331966,2,449.9,67001,84.35492,74.6198084607806,251.11134
,,,,,,67143,,,
,,,,,,67499,,,
,,,,,,67868,,,
526.5063880909091,573.9634193632996,101.27272727272727,324.36566749539145,3,455.6,68001,79.253975,76.50674462588164,273.8215
,,,,,,68296,,,
,,,,,,68806,,,
486.49741609090904,429.53297995407485,100.0909090909091,307.0271300339889,3,458.7,69001,94.59714,88.99985541946208,268.36688
,,,,,,69218,,,
,,,,,,69541,,,
506.1578961818183,328.2287635912127,109.63636363636364,308.05302748001674,3,461.3,70001,99.290825,95.2427106798591,271.63425
,,,,,,70099,,,
,,,,,,70474,,,
632.3196110909091,806.5614237234659,129.1818181818182,352.79475222758487,4,466.5,71001,84.48524,78.55969217904656,293.76495
,,,,,,71022,,,
,,,,,,71511,,,
,,,,,,71977,,,
451.3974904545454,500.6887220792135,93.54545454545455,290.7095561510205,3,473.2,72001,117.7178,108.51282912294018,279.66565
,,,,,,72387,,,
,,,,,,72740,,,
528.5839255454546,310.7007593759965,112.0,312.86471716488074,3,484.6,73001,116.522125,111.84311201556896,295.2495
,,,,,,73216,,,
,,,,,,73611,,,
430.9902975454546,506.71106153303623,85.36363636363636,287.31664398488454,2,490.1,74001,111.66794,110.47032553369344,279.95963
,,,,,,74035,,,
,,,,,,74395,,,
,,,,,,74858,,,
505.3463562727273,367.99095355223494,101.18181818181819,313.08529041974845,3,500.7,75001,134.28316,127.76851536289796,313.05728
,,,,,,75265,,,
,,,,,,75603,,,
,,,,,,75901,,,
533.0196048181818,555.1765470630212,103.18181818181819,326.77183656576597,3,510.2,76001,114.036156,112.61070303922548,310.13733
,,,,,,76309,,,
,,,,,,76537,,,
,,,,,,76803,,,
520.5842873636365,273.47664030250695,101.9090909090909,317.1144091648473,3,514.0,77001,115.540405,107.29557880131665,298.62756
,,,,,,77193,,,
,,,,,,77620,,,
,,,,,,77944,,,
504.68484481818183,473.6224814891562,106.81818181818181,308.0905316983681,3,511.9,78001,97.23826,94.3677208401988,271.037
,,,,,,78336,,,
,,,,,,78771,,,
491.668029090909,575.5134446377767,98.18181818181819,311.69640761737037,3,509.7,79001,100.971436,96.64413094072074,281.2287
,,,,,,79251,,,
,,,,,,79652,,,
