eval_eplenmean,eval_discount_q,eval_abs_qs_difference,eval_returns,total timesteps,eval_qs_difference,eval_time_elapsed,eval_qs,eval_ep_rewmean,eval mean 100 episode reward
1000.0,301.35688225372945,42.45427,3589.63825972924,46001,16.029923343352856,28,351.2058,3650.102046727273,3065.6
1000.0,288.30300455056954,38.58135,3634.8732540156807,47001,27.277034858960448,28,358.88385,3601.488210090909,3202.5
,,,,48000,,,,,
1000.0,284.05880225347113,41.640675,3516.421826285184,48001,38.865490340081095,27,362.90158,3521.5788415454545,3320.0
1000.0,323.85761152633046,50.367664,3919.5726741358344,49001,6.713083709613742,27,370.49487,3958.437011909091,3443.2
1000.0,314.5430567923268,40.244236,3732.148549359165,50001,26.620491035151804,27,372.22067,3767.399608363637,3535.3
1000.0,313.1054050279856,40.049076,3766.6292163502076,51001,29.011340232490294,27,373.2588,3752.4489224545455,3600.1
,,,,52000,,,,,
1000.0,325.44992713094933,49.607243,4005.116156071563,52001,11.571573813499702,27,378.2537,3989.016810363636,3693.4
1000.0,332.7890559608841,48.61155,3968.0250065407904,53001,13.033268988742826,28,381.63376,4015.4659777272727,3760.3
1000.0,324.1411685832636,41.06514,3839.695836311504,54001,29.89415928378799,27,385.29913,3874.9498577272725,3789.3
1000.0,312.4023078833251,43.664738,3752.5539274459397,55001,42.039722569741485,27,386.5576,3754.4567039090907,3800.9
,,,,56000,,,,,
1000.0,336.7205938076198,45.71727,4113.687457670636,56001,17.506166820332272,28,391.11023,4069.393931363636,3848.5
1000.0,344.1352145900241,45.431046,4059.183966050933,57001,21.922690356681013,28,394.64923,4067.959324,3906.8
1000.0,346.91626015820384,49.83571,4178.541170989614,58001,14.268143235352982,27,399.92712,4200.036988545454,3941.3
1000.0,355.69039926153084,52.20984,4288.50931505264,59001,11.174879580624157,27,405.8121,4298.505649,3994.5
,,,,60000,,,,,
1000.0,353.56085929596634,54.88397,4172.072102266727,60001,14.867025826847009,28,409.91476,4300.503302181817,4056.2
1000.0,352.89784526310325,55.825977,4437.110230056625,61001,8.989749659769096,28,415.9176,4418.647534454546,4105.9
1000.0,334.2323547958067,50.044044,4116.947448797569,62001,47.387511789750576,28,419.99686,4056.983508090909,4113.0
1000.0,346.3329157148902,48.296597,4304.912585378899,63001,30.032693116294762,27,428.80762,4330.618771818181,4158.8
,,,,64000,,,,,
1000.0,369.0880791908937,51.94491,4471.512028181544,64001,21.416404464124454,28,433.3539,4484.772527090909,4235.3
1000.0,366.30870498688125,53.538536,4609.51490791625,65001,19.796869977922245,28,435.81546,4522.831575636363,4290.0
1000.0,369.7822765718233,48.453983,4489.119937513115,66001,30.03649061833133,27,438.81995,4453.9190658181815,4334.3
1000.0,369.4731869851717,48.563305,4501.227564664305,67001,26.633821058978445,27,439.33566,4492.796678818181,4368.6
,,,,68000,,,,,
1000.0,384.55460259049136,59.57098,4644.322118872602,68001,13.070103907275525,28,441.77472,4667.7553762727275,4409.5
1000.0,372.06904322803183,49.038258,4560.337092491251,69001,27.459038512438482,28,441.7112,4510.869756272728,4433.0
1000.0,389.38350298409983,56.848972,4649.8574124004945,70001,15.330627217343219,27,447.21515,4704.334940363636,4466.6
1000.0,399.29725422149244,67.03903,4976.336281870016,71001,-1.2889081220099001,27,451.01135,4918.306832727272,4551.6
,,,,72000,,,,,
1000.0,378.0738085939387,64.035484,4831.338952442276,72001,6.625653636728822,28,448.74893,4795.525908454545,4609.6
1000.0,376.4153503655544,56.44514,4526.517381471536,73001,23.818277682700103,28,450.57434,4640.212299818182,4632.1
1000.0,394.40820317952165,66.27474,4724.4971671409685,74001,4.430758185765765,28,460.39236,4950.079934727273,4678.0
1000.0,404.32095573464335,66.12017,4946.149979754837,75001,4.479654011262974,27,462.96954,4985.176668363637,4733.4
,,,,76000,,,,,
1000.0,402.48967167252994,62.78528,4820.178581369722,76001,11.98528998672581,28,465.0137,4928.749037636363,4783.2
1000.0,395.3417692698709,57.192173,4890.287154756299,77001,19.621822780456817,28,470.9048,4904.218391545454,4810.7
1000.0,404.6444692342156,63.23246,4695.598321336389,78001,20.49744798525306,28,466.90323,4864.655527181818,4849.0
1000.0,397.43834349097796,60.185246,5003.210631185489,79001,17.065536859625862,28,475.10138,4973.822413090909,4879.4
,,,,80000,,,,,
1000.0,393.98028182136926,51.531822,4916.846466943845,80001,32.4783746102816,27,476.23282,4827.585002090909,4875.3
1000.0,386.0875258796225,58.96665,4859.074738250185,81001,28.053786010593207,27,473.41974,4835.886261363637,4877.2
1000.0,407.02811416081386,59.143604,5020.266791124729,82001,18.76790275499401,28,482.6321,5041.599800454545,4917.3
1000.0,407.4800546671849,64.18478,5135.4463282835995,83001,10.768428398560765,28,482.58084,5121.529214090909,4938.0
,,,,84000,,,,,
1000.0,408.03691472009433,61.85325,5097.358816574411,84001,14.718666782661506,28,484.64685,5103.238022999999,4955.9
1000.0,425.7882242780504,74.111786,5329.14390147238,85001,-2.1789418799141345,28,484.62625,5289.581967909092,4989.9
