eval_qs_difference,eval_abs_qs_difference,eval mean 100 episode reward,total timesteps,eval_returns,eval_discount_q,eval_qs,eval_time_elapsed,eval_ep_rewmean,eval_eplenmean
,,,73838,,,,,,
-29.22328102446535,29.559359,421.5,74001,1054.0846155948227,224.16515660071343,213.15565,10,1068.8345301818183,349.45454545454544
,,,74868,,,,,,
-8.869704985509143,16.08776,494.1,75001,957.261539351757,238.31147668067942,228.20338,8,948.6494319090907,300.6363636363636
46.20425948862223,49.344467,533.4,76001,767.2092258628998,221.8864699607229,244.03145,8,790.6130757272728,288.6363636363636
,,,76117,,,,,,
45.860887999825216,45.861996,765.8,77001,2698.8909499678807,227.2503298581263,293.26663,28,2699.035295090909,1000.0
,,,77888,,,,,,
58.608603258619475,60.373108,844.7,78001,1359.4405309770839,208.1852230163145,259.57324,11,994.8327263636364,381.72727272727275
31.591502623393737,37.14745,907.7,79001,905.8103112498213,232.02435736607507,260.55,9,1026.1508931818182,338.45454545454544
,,,79259,,,,,,
22.70959682390978,30.997963,1123.8,80001,2684.3889282612377,246.11557285368278,299.52673,24,2574.113950090909,834.9090909090909
76.5546752591438,76.62519,1365.3,81001,2457.6876796357624,197.11248854702583,302.57077,28,2455.3023135454546,1000.0
,,,81848,,,,,,
188.20611399534982,188.20612,1413.0,82001,308.8140866397963,154.25261734207388,297.4482,4,311.5135465454545,145.36363636363637
48.853510439793915,49.277775,1570.6,83001,2910.751977212662,219.68625137951085,305.8757,25,2550.359696636364,894.7272727272727
,,,83801,,,,,,
52.503906234985564,54.067204,1780.7,84001,2873.1277654918017,237.46551872668576,316.39902,28,2874.042057545455,1000.0
119.47315924379123,119.4809,1892.7,85001,429.1046478326287,176.82306976972453,298.85526,20,1611.5064421818183,710.6363636363636
,,,85553,,,,,,
150.89961899618217,151.43146,1741.6,86001,457.64910852326216,174.98197530172092,292.31378,14,985.3887817272727,496.1818181818182
,,,86144,,,,,,
64.19719629890926,64.696236,1846.4,87001,1531.7907965386878,216.58917523027887,303.2123,25,2309.9961656363635,878.3636363636364
,,,87792,,,,,,
72.13536957954838,72.325676,1989.7,88001,2483.679068903106,199.62551107909147,306.95993,28,2476.4216795454545,970.4545454545455
30.040894404837896,34.16711,1950.8,89001,1605.7368198305035,221.32751736461458,288.3629,17,1782.7582954545453,604.0
70.22517728816374,70.225174,1951.9,90001,2623.6419511634062,220.79767365898127,311.81796,28,2634.5173839999998,1000.0
,,,90618,,,,,,
49.42677003729662,51.497837,1972.2,91001,699.94596874515,209.7694845023455,249.69164,7,711.4617343636364,251.54545454545453
28.237560724836673,35.97548,2008.7,92001,2332.0079445188103,247.4417865222691,308.6015,23,2569.909106909091,830.5454545454545
,,,92580,,,,,,
62.390510983551685,64.1303,1795.2,93001,777.7970648154276,228.97621648575753,276.71307,7,785.804819909091,260.8181818181818
,,,93639,,,,,,
63.197482054282155,63.934994,1661.5,94001,707.1462839571478,217.75043603204875,264.33813,6,687.095570909091,234.36363636363637
,,,94564,,,,,,
35.11774174750237,44.552536,1665.0,95001,1280.599333704355,224.112579548289,254.98589,10,1079.8449133636366,372.1818181818182
,,,95787,,,,,,
