eval_discount_q,eval_qs_difference,eval_eplenmean,eval_returns,eval mean 100 episode reward,eval_ep_rewmean,eval_qs,total timesteps,eval_abs_qs_difference,eval_time_elapsed
112.99907948826215,-62.63855061593556,26.636363636363637,134.5206298499131,130.5,127.99575854545455,-2.1827886,23001,62.63855,0
,,,,,,,23055,,
,,,,,,,23168,,
,,,,,,,23285,,
,,,,,,,23387,,
,,,,,,,23504,,
,,,,,,,23656,,
,,,,,,,23749,,
,,,,,,,23838,,
,,,,,,,23928,,
115.24719966685149,-63.85159330804661,27.272727272727273,125.31120328361175,130.7,130.93248054545455,-2.195952,24001,63.85159,0
,,,,,,,24020,,
,,,,,,,24106,,
,,,,,,,24200,,
,,,,,,,24280,,
,,,,,,,24378,,
,,,,,,,24488,,
,,,,,,,24594,,
,,,,,,,24677,,
,,,,,,,24766,,
,,,,,,,24867,,
,,,,,,,24958,,
70.83834582763392,-40.49878222827602,16.0,76.414582097943,125.1,76.29241999999999,-1.983422,25001,40.498783,0
,,,,,,,25055,,
,,,,,,,25120,,
,,,,,,,25185,,
,,,,,,,25297,,
,,,,,,,25365,,
,,,,,,,25456,,
,,,,,,,25577,,
,,,,,,,25663,,
,,,,,,,25739,,
,,,,,,,25813,,
,,,,,,,25879,,
180.19745174646258,37.54645776354933,43.27272727272727,220.83663097571062,133.9,223.17406763636365,140.88806,26001,51.076683,1
,,,,,,,26009,,
,,,,,,,26182,,
,,,,,,,26357,,
,,,,,,,26539,,
,,,,,,,26723,,
202.4124272741513,126.85301768083906,51.54545454545455,274.4217652832571,147.9,260.11455790909093,242.46294,27001,126.85302,1
,,,,,,,27002,,
,,,,,,,27186,,
,,,,,,,27408,,
,,,,,,,27622,,
,,,,,,,27782,,
123.55337716618556,199.0373207821901,29.636363636363637,129.89598664791308,150.7,143.57355609090908,266.82654,28001,199.17577,0
,,,,,,,28009,,
,,,,,,,28114,,
,,,,,,,28358,,
,,,,,,,28646,,
,,,,,,,28967,,
204.84664448623917,145.5879265085571,53.72727272727273,206.7853072851594,164.8,266.89642272727275,263.82855,29001,145.79993,1
