eval_eplenmean,eval_discount_q,eval_qs_difference,eval_ep_rewmean,eval_abs_qs_difference,eval mean 100 episode reward,eval_returns,eval_time_elapsed,eval_qs,total timesteps
,,,,,,,,,26317
,,,,,,,,,26518
,,,,,,,,,26720
,,,,,,,,,26890
42.45454545454545,181.09086225266526,142.09546952122807,223.45708754545456,142.09547,124.9,210.728155593168,1,245.92871,27001
,,,,,,,,,27066
,,,,,,,,,27225
,,,,,,,,,27426
,,,,,,,,,27497
,,,,,,,,,27566
,,,,,,,,,27686
,,,,,,,,,27839
19.636363636363637,88.72904027297587,144.1621123881707,97.62647754545455,149.84229,126.1,93.87188905481929,0,193.86723,28001
,,,,,,,,,28020
,,,,,,,,,28099
,,,,,,,,,28316
,,,,,,,,,28383
,,,,,,,,,28573
,,,,,,,,,28846
57.09090909090909,229.73654353721014,201.5828459104607,304.6074930909091,201.58286,146.8,309.85457635378714,2,336.68384,29001
,,,,,,,,,29048
,,,,,,,,,29266
,,,,,,,,,29462
,,,,,,,,,29626
,,,,,,,,,29756
,,,,,,,,,29857
,,,,,,,,,29964
46.36363636363637,176.40365723870028,153.66948419457873,219.79633118181818,153.77637,161.0,236.06762282310336,1,250.41234,30001
,,,,,,,,,30088
,,,,,,,,,30321
,,,,,,,,,30503
,,,,,,,,,30590
,,,,,,,,,30731
,,,,,,,,,30925
41.45454545454545,165.7336058001164,216.19106285366416,201.67109163636363,216.19106,172.8,203.34181010709722,1,306.8454,31001
,,,,,,,,,31088
,,,,,,,,,31247
,,,,,,,,,31434
,,,,,,,,,31570
,,,,,,,,,31677
,,,,,,,,,31889
59.0,232.90832976608226,191.1469801434407,311.72700772727273,191.14697,195.2,328.0104134367061,1,328.18484,32001
,,,,,,,,,32138
,,,,,,,,,32271
,,,,,,,,,32445
,,,,,,,,,32665
,,,,,,,,,32855
78.36363636363636,261.2576513934417,32.25641927170804,383.44941209090905,76.56127,225.8,407.873845603244,2,186.51772,33001
,,,,,,,,,33099
,,,,,,,,,33254
,,,,,,,,,33474
,,,,,,,,,33727
,,,,,,,,,33933
51.0,191.79099558490228,77.38335809528094,246.29537327272726,102.1792,240.6,264.5918251124023,1,186.0244,34001
,,,,,,,,,34124
,,,,,,,,,34350
,,,,,,,,,34576
,,,,,,,,,34798
54.27272727272727,205.89276327553728,114.58075270723144,269.3069390909091,121.456566,249.9,231.04426928364276,1,232.11996,35001
,,,,,,,,,35007
,,,,,,,,,35230
,,,,,,,,,35467
,,,,,,,,,35669
,,,,,,,,,35839
65.81818181818181,224.97539561066398,163.23087002626156,311.6361199090909,166.71754,258.4,394.2965420237015,2,287.96658,36001
,,,,,,,,,36060
,,,,,,,,,36287
,,,,,,,,,36472
,,,,,,,,,36720
,,,,,,,,,36881
24.181818181818183,100.32265600527131,288.3789610838729,112.26113490909091,288.37894,260.7,100.74517618698418,0,341.41245,37001
,,,,,,,,,37012
,,,,,,,,,37096
,,,,,,,,,37206
,,,,,,,,,37350
,,,,,,,,,37511
,,,,,,,,,37713
,,,,,,,,,37900
56.0,210.48496463023983,88.74696313950874,277.88453681818186,100.00467,260.1,282.8969745220143,1,210.82623,38001
,,,,,,,,,38080
,,,,,,,,,38282
,,,,,,,,,38460
,,,,,,,,,38719
,,,,,,,,,38993
46.54545454545455,177.77982301374902,152.74112929036303,221.8131628181818,157.01665,259.7,205.6391714763121,1,250.86061,39001
,,,,,,,,,39240
,,,,,,,,,39413
,,,,,,,,,39621
,,,,,,,,,39785
,,,,,,,,,39872
56.72727272727273,215.8103852250809,141.82275309793678,284.0869981818182,142.16162,266.8,321.780580735331,1,264.96497,40001
,,,,,,,,,40005
,,,,,,,,,40249
,,,,,,,,,40523
,,,,,,,,,40819
71.9090909090909,264.37681564183737,108.32124006165803,375.81825081818175,117.51997,274.8,460.18027234541677,2,264.40695,41001
,,,,,,,,,41022
,,,,,,,,,41304
,,,,,,,,,41570
,,,,,,,,,41982
71.0,237.1299650494824,199.09030247602087,328.97048136363634,199.39848,270.7,396.5845367090295,2,331.16345,42001
,,,,,,,,,42260
,,,,,,,,,42526
,,,,,,,,,42827
92.9090909090909,275.68234894389656,133.08565997265524,422.7217305454546,143.74005,287.5,395.63531952642035,2,289.3263,43001
,,,,,,,,,43152
,,,,,,,,,43430
,,,,,,,,,43723
,,,,,,,,,43924
56.72727272727273,207.55745628693376,223.36894728129116,277.3388081818182,224.13976,288.3,379.8197253991492,1,340.38867,44001
,,,,,,,,,44191
,,,,,,,,,44445
,,,,,,,,,44685
,,,,,,,,,44916
71.54545454545455,231.87122544411565,129.03012466627536,321.03317327272725,132.3469,291.8,360.0572450473857,2,254.67764,45001
,,,,,,,,,45289
,,,,,,,,,45594
,,,,,,,,,45773
49.09090909090909,205.81048914503182,106.96264838782203,262.4531902727273,108.18906,304.5,255.4716991691863,1,225.96922,46001
,,,,,,,,,46049
,,,,,,,,,46245
,,,,,,,,,46477
,,,,,,,,,46696
91.72727272727273,310.20109639641004,108.09789860469122,486.4172662727273,109.514496,329.6,360.7775749101916,2,296.6904,47001
,,,,,,,,,47014
,,,,,,,,,47345
,,,,,,,,,47619
,,,,,,,,,47863
97.72727272727273,291.5179718470816,95.88751591557258,459.23499536363636,102.150826,353.6,451.74191382034377,3,263.22482,48001
,,,,,,,,,48216
,,,,,,,,,48496
,,,,,,,,,48820
104.9090909090909,301.9025761742806,74.43702204212995,492.1709563636363,91.798096,377.8,542.52434806233,3,248.91486,49001
,,,,,,,,,49154
,,,,,,,,,49496
,,,,,,,,,49745
,,,,,,,,,49919
91.81818181818181,283.1763279650076,46.94817558084366,433.9521030909091,57.964294,386.1,529.1283945713566,3,212.0545,50001
,,,,,,,,,50243
,,,,,,,,,50490
,,,,,,,,,50820
94.63636363636364,294.48363528773086,67.416570276622,462.35972909090907,74.13553,400.3,458.07693985361084,3,240.01845,51001
,,,,,,,,,51159
,,,,,,,,,51379
,,,,,,,,,51640
,,,,,,,,,51966
93.81818181818181,284.20972239963,58.12849815968345,436.621611,65.28546,402.2,569.0447700758536,3,220.43126,52001
,,,,,,,,,52259
,,,,,,,,,52574
,,,,,,,,,52968
31.90909090909091,136.61257309883754,295.0274087439329,159.65123227272727,295.0274,391.2,135.04574739261827,1,370.08963,53001
,,,,,,,,,53081
,,,,,,,,,53251
,,,,,,,,,53605
,,,,,,,,,53994
59.45454545454545,242.35962454258095,38.03930980621516,324.3125879090909,65.26511,389.9,341.9714513061959,2,179.48396,54001
,,,,,,,,,54223
