eval_abs_qs_difference,eval_ep_rewmean,eval_eplenmean,eval_qs_difference,eval_time_elapsed,eval_returns,eval mean 100 episode reward,eval_discount_q,total timesteps,eval_qs
43.60187,474.64202872727276,176.8181818181818,43.00536325507273,5,392.9135233154705,260.2,183.74394535631515,78001,204.06851
,,,,,,,,78407,
,,,,,,,,78852,
90.08787,336.55211363636363,158.0909090909091,87.96610144264967,4,110.47897390078141,273.9,131.34886982274804,79001,203.20557
,,,,,,,,79272,
,,,,,,,,79753,
159.69472,134.3927581818182,130.1818181818182,156.57478241049114,3,-9.48026192907221,257.9,29.780266322406636,80001,182.78334
,,,,,,,,80224,
,,,,,,,,80803,
103.52607,261.5374698181818,126.63636363636364,101.11223758369829,3,246.43990516431668,266.5,120.28998454322418,81001,193.47661
,,,,,,,,81563,
102.687836,265.0674221818182,146.45454545454547,99.25277147410952,4,274.77581480366655,261.2,109.60072394993175,82001,194.02812
,,,,,,,,82150,
88.29326,427.1726223636364,186.27272727272728,88.25839130912235,5,269.0564552748564,268.1,155.5315773768476,83001,232.1606
,,,,,,,,83103,
,,,,,,,,83869,
86.903885,428.80078645454546,167.63636363636363,81.07895475044262,4,286.2439603208349,296.6,174.62777196926962,84001,228.07074
,,,,,,,,84626,
133.6084,450.9417848181818,249.0,126.96259062208719,7,442.82557053311797,318.7,139.00737609252985,85001,236.58644
,,,,,,,,85218,
92.73587,657.9612493636364,256.6363636363636,82.42127970193856,7,802.6748794644301,372.0,172.5629755671803,86001,251.8208
,,,,,,,,86049,
,,,,,,,,86446,
122.30295,529.5426646363637,219.9090909090909,120.72231037781127,6,343.68586621529585,389.9,156.79621561579262,87001,272.56406
,,,,,,,,87166,
,,,,,,,,87726,
127.96323,324.87375172727275,135.63636363636363,127.19868286479387,3,306.9953421999591,383.9,156.6612283230046,88001,250.53078
,,,,,,,,88495,
,,,,,,,,88977,
154.13506,484.22423745454546,188.72727272727272,150.54184070572668,5,419.2878670992057,417.1,159.18609640852685,89001,289.335
,,,,,,,,89704,
162.97577,273.17915636363637,124.54545454545455,162.24648438566024,3,409.2552100326324,422.0,136.585744457414,90001,264.84875
,,,,,,,,90589,
97.3013,554.9701974545455,190.63636363636363,92.66460361610073,5,580.9167145828883,454.0,197.55942781223823,91001,267.25015
,,,,,,,,91081,
,,,,,,,,91588,
100.591286,755.3594333636364,278.09090909090907,95.53544030101317,7,324.3656103347456,495.3,188.1820983708647,92001,280.839
,,,,,,,,92205,
124.70324,536.3363818181818,210.27272727272728,117.00161321832093,5,552.7677988062569,504.2,159.42095724849966,93001,266.21228
,,,,,,,,93314,
131.48589,474.4434473636365,170.27272727272728,130.3997932716927,4,621.1698213670056,505.0,183.1824887398174,94001,287.07492
,,,,,,,,94336,
117.332466,734.1344043636363,264.09090909090907,107.78702786095727,7,431.46329972840937,519.8,170.9359281416186,95001,272.48685
,,,,,,,,95178,
71.06613,902.7273766363636,274.72727272727275,53.991281491693435,7,721.4532748697228,553.9,209.94656790607985,96001,279.82214
,,,,,,,,96140,
99.20088,684.9529134545454,227.9090909090909,96.09453279417208,6,512.0566697021244,594.1,209.0322165505502,97001,292.0876
,,,,,,,,97054,
,,,,,,,,98000,
115.89363,694.8805434545454,259.09090909090907,110.11216647928723,7,1223.7836941416851,611.0,187.69193826524779,98001,287.59033
,,,,,,,,98654,
184.4295,177.70213981818182,98.27272727272727,181.3607793456163,2,218.72048683895733,611.9,107.1261095181715,99001,248.57484
108.50625,836.0087812727273,298.0,102.48834050173664,8,1255.8562536361048,637.1,182.35323798507036,100001,295.9762
,,,,,,,,100035,
,,,,,,,,100783,
87.38937,1196.6266178181818,360.8181818181818,75.05560831695112,10,1108.4502000404436,686.8,244.11800082839707,101001,315.02216
140.49945,555.2888643636364,204.54545454545453,136.5640946407916,5,175.29821907156511,697.6,165.70641874604786,102001,274.1921
,,,,,,,,102518,
145.2997,799.2860750909091,283.90909090909093,138.299611364607,8,117.82417194526245,731.0,140.44555469959258,103001,279.20505
,,,,,,,,103848,
125.512596,835.7689326363635,295.72727272727275,121.00265080929675,8,1299.58586293859,728.1,185.25167087971843,104001,307.78238
,,,,,,,,104671,
182.88226,809.3780971818181,868.2727272727273,182.74896122617855,24,762.8413751843522,735.8,78.46745147692148,105001,270.5217
,,,,,,,,105545,
185.66078,390.82712690909085,148.1818181818182,185.08555510612436,4,874.3013021582428,694.2,137.33867032214704,106001,299.96774
,,,,,,,,106207,
,,,,,,,,106767,
96.33466,1195.5872032727273,380.0,85.78823149003394,10,3052.3209213870196,732.7,200.87685994982832,107001,311.7401
