eval_abs_qs_difference,eval_qs_difference,total timesteps,eval_returns,eval mean 100 episode reward,eval_time_elapsed,eval_qs,eval_ep_rewmean,eval_discount_q,eval_eplenmean
80.13703,11.986794483072003,104001,6209.698406838093,6020.1,26,581.84717,6192.499235545454,498.88451215402023,1000.0
81.61469,6.7275805037816205,105001,6318.6035241801055,6027.2,26,584.2556,6273.0342041818185,502.7813934083834,1000.0
77.107765,16.12775281819893,106001,6262.519705903691,6023.6,26,584.2432,6178.602601,502.4725480068124,1000.0
82.47232,6.801318037549612,107001,6299.7457538326535,6061.9,26,585.434,6289.746100272728,508.50399951267724,1000.0
,,108000,,,,,,,
66.556206,36.776822824688296,108001,6013.148691441668,6066.8,26,588.34204,6005.097795636363,494.389060498668,1000.0
63.8562,40.23359713307446,109001,6019.107312856501,6060.4,26,593.47363,6016.076382909092,488.56164248109746,1000.0
64.05544,57.862437614824785,110001,5812.91567637863,6029.4,26,590.9204,5801.535134909091,475.7125908393662,1000.0
71.18311,28.716898678203062,111001,6188.605805293158,6110.5,26,597.87555,6182.089756818183,495.4583331841913,1000.0
,,112000,,,,,,,
80.97836,11.840420255856914,112001,6309.695941299887,6144.4,26,597.1,6358.49724109091,511.0121421659154,1000.0
75.31406,21.280181908280756,113001,6284.845248473124,6154.1,26,599.3885,6283.687232272728,507.68091740888735,1000.0
69.2257,31.23765810378558,114001,6132.75713299235,6146.5,26,600.14813,6179.834182090909,495.686022780782,1000.0
73.3074,24.976642406944766,115001,6231.420958586421,6154.2,26,601.5107,6264.292669818181,503.9921482515561,1000.0
,,116000,,,,,,,
74.632515,22.984337160895578,116001,6326.473599180203,6155.5,26,603.15717,6302.314679,505.6423191416594,1000.0
71.24775,30.066861938281477,117001,6283.73215881344,6181.2,26,608.06805,6282.778336727273,507.8453672090358,1000.0
77.83184,20.040342566561375,118001,6435.015821521973,6223.3,26,610.6937,6416.690112454546,515.3097123717324,1000.0
82.692604,13.608274329242498,119001,6519.552867455951,6297.7,26,614.0304,6519.861106818182,520.8482667232624,1000.0
,,120000,,,,,,,
69.98888,36.41459007826618,120001,6292.623847616966,6316.5,26,612.1212,6263.135953545454,511.1813989974485,1000.0
84.99162,10.627132895617127,121001,6655.693054707621,6343.5,26,619.6193,6613.573976909091,528.9418196331944,1000.0
68.22611,39.95618021921757,122001,6318.129648460496,6347.8,26,619.6029,6300.672041727273,509.2982732260361,1000.0
82.634514,14.844345318462285,123001,6572.454645991345,6388.7,26,621.6864,6590.986677272726,527.8446184638549,1000.0
,,124000,,,,,,,
82.39668,17.621473807658493,124001,6450.223202645238,6424.2,26,623.26904,6566.048285272728,514.7201277148059,1000.0
77.96783,22.29672713492439,125001,6547.716458065225,6453.2,26,626.24835,6556.129909909091,521.8316442883638,1000.0
73.81696,29.9360661185092,126001,6429.37683326951,6476.0,26,627.4433,6496.314099909091,526.5065659015534,1000.0
81.726685,19.352202103884483,127001,6596.721826271851,6505.5,26,633.81616,6667.231456272726,527.8706739901781,1000.0
,,128000,,,,,,,
76.546036,25.75108982284773,128001,6598.490042285341,6515.6,26,632.5323,6586.747448363636,524.1767948497344,1000.0
88.58219,7.608195958498403,129001,6827.736086734972,6564.7,26,632.78076,6784.130790545454,537.78341089525,1000.0
77.17152,25.422716966123165,130001,6669.066369004555,6575.5,26,635.98804,6628.769607272727,528.4004659680246,1000.0
81.52848,19.050327693573227,131001,6752.84036700526,6613.6,26,637.6654,6712.998097727273,532.1692361981369,1000.0
,,132000,,,,,,,
76.534744,29.87487281015188,132001,6704.047615665641,6627.9,26,643.5855,6660.286325999999,528.4647095809604,1000.0
80.57171,26.07117066110466,133001,6721.981725479377,6643.2,26,645.4737,6722.194133000001,533.5040526080264,1000.0
77.600655,29.575221985001555,134001,6748.741283533706,6657.3,26,645.5154,6689.65421409091,535.6085442590166,1000.0
79.03535,27.657237062026308,135001,6724.396310230034,6678.4,26,645.0503,6699.648218454546,531.0281070343776,1000.0
,,136000,,,,,,,
90.56355,9.471761180464238,136001,6986.427590853906,6710.9,26,650.316,6952.290572454545,549.3419244486225,1000.0
77.21949,28.317846463698515,137001,6787.120675062586,6733.7,26,653.0508,6780.564081636363,538.620999248106,1000.0
89.75493,9.774778536998816,138001,6988.171228417079,6759.0,26,654.42285,6995.277732727272,554.3401822895869,1000.0
86.42832,15.984222824909631,139001,7016.332322554879,6788.3,26,654.2037,6928.566799272728,551.8911961822891,1000.0
,,140000,,,,,,,
86.333954,19.95621738230186,140001,6865.765010332308,6815.3,26,658.23193,6927.060515727272,549.8012551396437,1000.0
82.809906,23.85488124120043,141001,6918.298482400967,6841.1,26,660.0708,6908.3381260000015,551.6958334624924,1000.0
76.46119,56.125641925375476,142001,6488.805576352569,6823.0,26,656.91583,6513.311835545455,510.5156408131995,1000.0
78.10395,36.06042396958073,143001,6899.238731768625,6836.3,26,666.513,6847.370966818181,548.328486483618,1000.0
,,144000,,,,,,,
86.61457,20.76744997337133,144001,7037.119049929431,6872.3,26,669.49023,7036.175612818181,554.4925836742015,1000.0
80.866936,33.36169805327781,145001,6881.907825269714,6872.3,26,669.65533,6904.128614545456,546.6585585440481,1000.0
97.4438,4.527490181538269,146001,7310.605143884827,6915.3,26,673.2722,7244.441221,562.6201004541455,1000.0
87.36375,19.858531669375886,147001,7103.921497579432,6930.6,26,671.26404,7063.88919490909,555.3884032045153,1000.0
,,148000,,,,,,,
85.34344,21.063334728479557,148001,7076.979354950331,6951.4,26,679.4553,7131.328067818182,552.9371758051867,1000.0
91.66127,18.438639563371815,149001,7398.139555438546,6981.5,26,684.6696,7227.845070909091,571.2476652405784,1000.0
88.79107,23.400074447950487,150001,7223.084740088688,7015.4,26,688.2988,7203.713497363636,560.3291970928832,1000.0
90.41276,20.887957531786014,151001,7329.378487163711,7093.7,26,695.47876,7307.956997636363,567.7264058857495,1000.0
,,152000,,,,,,,
83.8414,32.62620228989794,152001,7200.4015588788225,7142.7,26,698.37164,7219.1988400909095,567.4184502719389,1000.0
83.71994,28.74735103745935,153001,7302.523327292505,7171.8,26,700.06506,7271.488918363637,563.9513070914227,1000.0
83.568504,34.64207711837996,154001,7336.861824998767,7207.9,26,706.522,7277.579922636365,564.4245470487264,1000.0
94.52659,21.90646142323542,155001,7592.701952519249,7239.7,26,713.1145,7484.071873,577.7692711821283,1000.0
,,156000,,,,,,,
83.55295,39.154327876520895,156001,7317.736754940282,7263.6,26,713.5152,7287.62683709091,549.5130468774581,1000.0
78.809525,56.63923190089127,157001,7223.644710853576,7271.7,26,720.55084,7188.781540272727,555.217220269634,1000.0
84.44351,69.4020233998855,158001,6536.7468517012,7259.0,26,718.2547,7011.833541727272,528.5924815277945,1000.0
83.18569,68.50917204834901,159001,7163.543592119673,7243.7,26,727.8674,7139.384893363636,551.3159564669184,1000.0
,,160000,,,,,,,
98.74253,17.973393066748113,160001,7904.687632533492,7288.1,26,737.44366,7775.921307272728,587.0898234162537,1000.0
115.34407,47.84232332326522,161001,7554.869380602663,7307.6,26,725.1823,7365.612870181818,598.1947643039158,1000.0
90.67639,55.04108094811601,162001,7852.499309617512,7331.9,26,748.4101,7514.712391272727,586.8915524087101,1000.0
109.121124,53.9672325280473,163001,7941.848027775521,7362.6,26,751.2188,7564.156398272727,597.6171732331076,1000.0
,,164000,,,,,,,
89.162445,51.54993701385067,164001,7692.637874712456,7402.5,26,770.41693,7772.879699181818,590.1105302429434,1000.0
87.078735,53.231249474321096,165001,7698.34738410988,7459.1,26,779.1013,7847.315668363636,594.5608094691709,1000.0
86.76412,75.99547910366407,166001,7522.948973185603,7505.6,26,780.20795,7613.462358909092,577.1091622282648,1000.0
87.16401,78.19418011076706,167001,7809.716950762119,7569.2,26,792.182,7707.849974090908,573.7086827178086,1000.0
,,168000,,,,,,,
101.86148,31.969682856782097,168001,8409.71963927075,7696.7,26,799.50024,8280.237404,611.0414286708154,1000.0
94.45257,41.38610949063678,169001,8082.343295074323,7760.1,26,800.8539,8181.395415363636,592.6444135183746,1000.0
95.49414,37.081382850514004,170001,8240.395779496639,7858.3,26,808.1407,8307.068572909091,602.5003783208035,1000.0
104.46213,25.686368880482995,171001,8450.577184346554,7965.1,26,814.61096,8501.995676363636,618.9389132970009,1000.0
,,172000,,,,,,,
101.15848,34.94354235799967,172001,8303.837101796658,8069.5,26,821.54877,8469.262833454544,609.3042949625371,1000.0
106.82264,29.404583565060896,173001,8369.256984479967,8152.3,26,821.82513,8538.603248090909,620.6050117731851,1000.0
102.67668,36.014785066636,174001,8588.50159531825,8227.3,26,832.0828,8577.302945818183,622.8508918339177,1000.0
93.130936,56.537601212365196,175001,8368.761901070999,8315.5,26,839.11115,8422.928125,603.2241516259503,1000.0
,,176000,,,,,,,
89.18699,70.41722964222656,176001,8230.509377116889,8386.6,26,842.1072,8303.84934690909,592.8784842642573,1000.0
115.42973,42.938502049976,177001,8713.03109156615,8428.8,26,839.54083,8602.307702000002,642.7114565202806,1000.0
94.45373,73.19223652615734,178001,8341.975948069865,8448.8,27,848.29156,8363.257663636365,618.4488682917502,1000.0
97.636665,53.17979564183227,179001,8518.348352550162,8482.9,26,852.96814,8617.111332818182,625.4814868930345,1000.0
,,180000,,,,,,,
152.20229,107.80947927642688,180001,8577.849890648693,8388.5,26,808.1052,7606.3854002727285,609.5234307919844,1000.0
100.92243,55.55387602125134,181001,8758.57300594051,8407.2,26,859.72974,8668.724256363637,633.2990881351864,1000.0
229.22923,181.72294304124043,182001,8906.659816945308,8150.1,26,744.8793,6211.876431363635,586.1753064585961,1000.0
124.21339,54.41885762917848,183001,9015.609085289552,8164.6,26,858.6931,8696.252305363638,660.1107255745526,1000.0
,,184000,,,,,,,
159.68141,86.54130541406992,184001,8973.989491088865,8125.9,27,835.03577,8107.457179727274,628.8005735822221,1000.0
101.25892,53.99335947672355,185001,8997.908154875395,8184.1,26,876.2883,8834.511117636364,617.7387995573604,1000.0
110.87984,33.967739512944085,186001,9329.581205327699,8256.3,26,888.28314,9208.974288090909,672.5457195431674,1000.0
142.46912,76.0944846493909,187001,9166.358725164755,8266.5,26,862.79065,8510.373704999998,649.9111691684551,1000.0
,,188000,,,,,,,
135.80804,94.78267266884664,188001,8866.938154305766,8237.2,26,858.9127,8284.419056363637,649.6147890146159,1000.0
261.86942,242.5590920828674,189001,8867.803695050381,7998.1,27,747.0303,5658.074117818182,619.558219414707,1000.0
154.64905,121.00549714834573,190001,9079.627209307377,7952.1,26,859.11115,8025.77518690909,651.2306821500935,1000.0
140.56598,99.51379934339126,191001,9308.653148968042,8207.7,26,887.9357,8527.477872727273,649.7558473345013,1000.0
,,192000,,,,,,,
150.71384,101.8967642348536,192001,9375.091065598242,8174.2,26,875.3575,8369.474507363637,641.2794492554499,1000.0
139.3674,68.90651622439172,193001,5226.656428598851,8309.4,26,899.47144,8952.862202727272,653.7507388378968,1000.0
111.34773,64.49553281045054,194001,9303.743568118676,8303.0,26,916.1844,9177.544859545455,667.3293875586487,1000.0
97.540726,79.70586960693247,195001,8975.488694236024,8304.6,26,927.72925,9120.896338636363,647.1345096237443,1000.0
,,196000,,,,,,,
241.22145,199.0406400835251,196001,9632.066092821162,8105.7,27,815.76166,6785.317077818182,624.350405663376,1000.0
136.90727,83.91103391421947,197001,9581.921581097586,8175.5,26,913.2715,8958.818151909089,671.9321363688642,1000.0
173.10867,133.055379237583,198001,8318.493164192261,8358.4,26,863.3947,7956.030296818182,659.2296304154747,1000.0
155.489,118.97819263413997,199001,9493.744015623755,8455.8,26,878.2398,8235.285035090907,649.1607751803631,1000.0
,,200000,,,,,,,
165.50714,136.22785085629042,200001,9436.735699749095,8408.1,26,879.0149,8047.500114727273,625.888499359751,1000.0
130.21234,117.553841317376,201001,9330.672464190846,8439.1,26,917.19,8637.44312481818,647.556972425131,1000.0
107.82532,94.29583105849642,202001,7831.9621543876465,8427.6,26,938.2711,9078.633799999998,645.3339354705212,1000.0
136.69604,106.71152228272058,203001,9186.774297655333,8404.4,26,914.6274,8724.953159909091,652.317868691401,1000.0
,,204000,,,,,,,
107.50774,63.4555885901861,204001,9445.539609003372,8447.3,26,955.31366,9577.801475,665.879559884735,1000.0
103.85251,67.30623461326319,205001,9614.35749344562,8762.2,26,958.6962,9575.981364272726,668.7690093168134,1000.0
106.510994,68.22587617954451,206001,9711.063674835583,8830.8,26,961.17676,9589.82481218182,666.9850698473257,1000.0
155.76894,108.05989102494067,207001,9497.618323178098,8825.4,26,902.9191,8544.696215636366,602.1254289882947,1000.0
,,208000,,,,,,,
116.21436,74.56493187552142,208001,9517.681406367205,9024.0,26,950.78,9418.779189,663.2608230479452,1000.0
