eval_qs_difference,eval_qs,total timesteps,eval_discount_q,eval_eplenmean,eval_abs_qs_difference,eval_ep_rewmean,eval_returns,eval mean 100 episode reward,eval_time_elapsed
,,33828,,,,,,,
42.8321101278525,134.69556,34001,126.54080070652005,133.36363636363637,44.610085,247.78929036363635,249.39113264005695,185.8,3
,,34316,,,,,,,
,,34763,,,,,,,
25.041528356430934,129.49898,35001,139.32898507004606,143.36363636363637,28.889965,287.6909752727273,289.31265146731016,198.9,4
,,35284,,,,,,,
,,35761,,,,,,,
30.01995179470805,134.09137,36001,140.38004728428916,139.1818181818182,32.05438,283.82805090909096,287.7398283367743,207.9,4
,,36295,,,,,,,
,,36743,,,,,,,
19.775148774857772,136.14967,37001,151.16011556397964,148.27272727272728,22.670036,322.20678772727274,321.7042275862518,229.2,4
,,37314,,,,,,,
,,37742,,,,,,,
33.38429178439778,127.173294,38001,132.66448706810007,120.9090909090909,35.013462,244.7681576363636,251.28004340066508,238.9,3
,,38171,,,,,,,
,,38731,,,,,,,
32.73592607394366,133.5021,39001,140.507322801771,134.45454545454547,33.802902,274.59190363636367,275.49517011793023,249.8,3
,,39179,,,,,,,
,,39699,,,,,,,
28.17912183586907,120.173485,40001,131.06674521700336,104.18181818181819,29.358223,225.59659781818183,224.14937311550344,254.9,3
,,40151,,,,,,,
,,40582,,,,,,,
24.414194631184355,133.76703,41001,145.13789876133407,165.1818181818182,24.800587,324.32762736363634,328.5928898957868,266.9,4
,,41095,,,,,,,
,,41584,,,,,,,
21.079926655128315,136.89894,42001,144.75130605148163,172.27272727272728,21.912178,342.77175354545454,345.9069847882142,281.6,5
,,42072,,,,,,,
,,42566,,,,,,,
16.29053565023612,138.74435,43001,153.49826000930588,174.1818181818182,16.88485,365.25472390909084,363.5730639503928,295.1,5
,,43126,,,,,,,
,,43737,,,,,,,
-14.846670547256036,146.59227,44001,182.0782966429133,238.27272727272728,24.33447,565.2938868181817,621.8704777407294,323.9,6
,,44819,,,,,,,
161.34989660191553,176.34047,45001,35.82732993041202,45.81818181818182,161.34991,42.33840645454545,42.0768647880165,303.1,1
,,45232,,,,,,,
4.838459991278251,199.55943,46001,175.1403384641437,1000.0,29.2274,2120.598692636364,2121.6090100203965,480.9,28
,,46622,,,,,,,
0.3803539460687349,201.70479,47001,223.61282637038505,207.72727272727272,39.116055,641.0204232727274,613.2304388312857,538.0,6
,,47467,,,,,,,
101.3543191744845,232.07022,48001,141.59254104698854,112.27272727272727,116.10123,380.8901525454545,23.792955232352146,556.2,3
,,48077,,,,,,,
,,48447,,,,,,,
,,48486,,,,,,,
29.756474169698457,261.66565,49001,234.55701549270108,249.0909090909091,29.961409,809.8980598181817,799.3088582504614,611.7,7
,,49178,,,,,,,
136.0463920576035,290.83582,50001,169.96531265830825,194.54545454545453,136.04639,513.4463788181819,598.5485616724259,636.4,5
,,50166,,,,,,,
224.55843736417094,325.94656,51001,135.64758369791687,100.63636363636364,224.55844,240.95936781818182,211.1543576050154,629.5,2
,,51135,,,,,,,
,,51887,,,,,,,
271.82175262948255,304.09006,52001,53.98522577960204,39.90909090909091,271.82178,66.32859981818181,68.10288623894353,598.5,1
,,52519,,,,,,,
263.22008515500835,330.8277,53001,101.68177391731669,73.63636363636364,263.2201,150.45162136363635,151.88410823355872,556.7,2
,,53189,,,,,,,
,,53377,,,,,,,
108.7562647846642,303.55472,54001,212.2470325396288,201.63636363636363,110.02449,602.8867837272728,610.6845671570666,602.6,5
,,54428,,,,,,,
81.49021805594448,328.85153,55001,238.03205977325632,695.2727272727273,81.78628,2029.3166370909091,800.3901289674667,632.2,20
,,55302,,,,,,,
143.90616596070194,317.35217,56001,201.98577005657944,179.0909090909091,143.90616,510.59583972727273,511.5363466545471,590.7,5
,,56113,,,,,,,
,,56911,,,,,,,
80.62097595403189,295.5828,57001,220.51516940598376,249.1818181818182,81.39249,754.6411573636364,812.0616860573117,623.6,7
,,57577,,,,,,,
87.84965162321909,302.81204,58001,218.982911030706,241.8181818181818,88.988174,740.5248285454545,829.9743798162596,624.9,7
,,58530,,,,,,,
100.7641691005946,285.3074,59001,209.623294322887,173.0909090909091,101.42133,527.1825841818182,547.4257486588713,625.0,5
,,59294,,,,,,,
150.66274795543015,293.52267,60001,182.49138301979252,171.0909090909091,150.66275,425.0899826363635,421.8539359289575,638.7,4
,,60132,,,,,,,
113.24984186083626,293.0357,61001,202.48692242627564,219.9090909090909,113.730934,595.8911859090908,564.4113129056227,692.7,6
,,61048,,,,,,,
,,61843,,,,,,,
115.20047765838777,294.20944,62001,203.82089356009303,215.0909090909091,116.72178,592.9476334545453,522.3911834273717,743.5,6
,,62773,,,,,,,
125.21473206926535,288.81424,63001,194.67736128607368,199.54545454545453,127.02943,519.4011708181819,513.9238712068183,743.4,5
,,63862,,,,,,,
84.1303025994892,311.65012,64001,220.29723790187248,442.27272727272725,85.7909,1246.409346090909,960.5377802232974,677.7,12
,,64626,,,,,,,
115.03964274606984,290.93713,65001,202.3077409214181,228.8181818181818,116.42685,605.4586956363637,600.5142098768334,665.0,6
,,65404,,,,,,,
,,65665,,,,,,,
,,65763,,,,,,,
94.67094350418452,251.38072,66001,190.08504874412358,161.8181818181818,98.24332,442.4824230909091,433.6420002333134,637.5,4
,,66334,,,,,,,
91.75423203976617,279.08157,67001,205.16481721123165,230.54545454545453,93.69414,636.0697562727272,687.1464384337562,623.4,6
,,67284,,,,,,,
,,67996,,,,,,,
65.79525441169899,274.84546,68001,200.83520752749263,290.8181818181818,73.09301,838.2400215454546,761.0908613723947,652.3,8
,,68944,,,,,,,
25.06948621937389,259.58035,69001,230.03412143921423,238.36363636363637,33.84506,787.7831797272727,809.5985594414964,689.5,6
,,69842,,,,,,,
74.1261490181692,252.53647,70001,179.02325569076132,225.63636363636363,75.104744,579.778468,564.072224547261,693.3,6
,,70297,,,,,,,
,,70856,,,,,,,
83.19938837830732,284.2875,71001,200.30908557854858,270.72727272727275,84.251045,759.8011921818182,880.2739792579958,709.2,7
,,71678,,,,,,,
