eval_eplenmean,eval_returns,eval_discount_q,eval mean 100 episode reward,eval_qs,eval_abs_qs_difference,eval_qs_difference,eval_time_elapsed,eval_ep_rewmean,total timesteps
1000.0,6755.644391854499,531.0578862163951,6437.7,610.28424,98.58514,-11.759417287981922,25,6746.1836100909095,86001
1000.0,6690.124121186935,532.9237397530692,6498.7,613.1012,100.72138,-13.594491061627723,25,6794.551764272727,87001
,,,,,,,,,88000
1000.0,6754.180070037615,526.9475200869937,6546.3,615.98834,91.93653,-0.9767391026275205,25,6691.329358090909,88001
1000.0,6796.3481373154245,540.6989414425746,6612.7,623.8592,101.4826,-13.195201406753954,25,6905.83577390909,89001
1000.0,7023.235389823619,543.9806822802136,6667.2,622.0172,103.82986,-16.09226180635488,25,6919.635446363637,90001
1000.0,6506.532781142357,528.1428299176268,6705.1,619.1819,87.54975,7.875770638910343,25,6635.922321,91001
,,,,,,,,,92000
1000.0,6934.583700870442,550.7479498074946,6741.8,630.3484,99.087494,-8.96958943708636,25,6938.420362545454,92001
1000.0,6977.577563739228,547.4828905399189,6797.9,633.0354,99.03665,-7.151175487321222,25,6943.873764909091,93001
1000.0,6911.035131527402,539.4311847450122,6820.8,633.7199,91.088165,3.899270319560649,25,6832.243599363637,94001
1000.0,6718.047816024388,532.7868242469833,6826.1,630.7726,90.01251,4.690462932469927,25,6788.279990181819,95001
,,,,,,,,,96000
1000.0,6889.300602272071,539.0490137867332,6835.2,635.8047,93.42307,0.8262166601074548,25,6883.442899181819,96001
1000.0,6876.051179670009,537.072855028916,6850.1,639.16614,89.708954,9.172160670709207,25,6831.642285272726,97001
1000.0,6796.2375208350695,543.8822365289587,6840.8,642.96216,83.16605,18.235137899173164,25,6785.713228818183,98001
1000.0,6840.827727267111,538.7706764555164,6835.5,643.97614,86.70686,12.731442181678972,25,6845.830233272727,99001
,,,,,,,,,100000
1000.0,6443.178267992358,523.9460384947197,6811.2,643.9204,69.174355,51.02550599130887,27,6447.655508727273,100001
1000.0,6869.491582327664,539.7089441006998,6808.2,645.75995,90.41929,9.519568691146736,26,6896.716099,101001
1000.0,6258.301495286326,510.7186715966767,6741.1,645.77936,73.37289,68.9680657448014,26,6273.725294272727,102001
1000.0,6930.550441071821,545.8894813569331,6735.2,650.115,86.13654,17.76741693709748,26,6863.906374909091,103001
,,,,,,,,,104000
1000.0,6916.352726290096,547.2826267854037,6749.3,655.34125,86.422195,16.353532701440404,26,6931.687337545454,104001
1000.0,6821.130128393644,538.1601955098236,6744.3,651.7674,81.50907,22.8392377121382,26,6822.060555,105001
1000.0,7039.194136184651,545.013166127758,6755.3,656.0813,85.74757,17.076368841903072,26,6929.612278909091,106001
