eval_qs,eval_qs_difference,total timesteps,eval_time_elapsed,eval_ep_rewmean,eval_discount_q,eval_abs_qs_difference,eval mean 100 episode reward,eval_returns,eval_eplenmean
,,70231,,,,,,,
163.52002,84.41529433166573,71001,19,686.5693100909091,144.10200407156748,87.001945,1027.6,1092.856027357445,607.6363636363636
,,71703,,,,,,,
195.0233,116.87004032693454,72001,17,514.5284414545454,138.4472401449066,119.130486,1001.0,45.644900941704364,549.7272727272727
206.95053,79.28343644073242,73001,19,936.9433862727274,169.2978412694304,80.06556,991.1,488.56878382048376,590.1818181818181
155.47797,65.48679202311494,74001,28,874.7292589090907,161.40699525039057,68.2226,945.6,688.7986539920174,864.2727272727273
196.12831,63.018422405030144,75001,24,1210.206481090909,180.34628061111638,65.297844,953.8,944.0010306329963,771.8181818181819
,,75703,,,,,,,
245.24301,65.7101682470333,76001,28,1830.1479021818182,195.16703338756207,66.2018,1049.3,2298.302279393641,874.2727272727273
226.69952,60.1050224677245,77001,25,1604.3019916363635,220.81028077694967,62.540043,1106.0,439.48602706631533,791.8181818181819
246.32603,77.89449368911231,78001,25,1713.3974880909088,188.48032202091954,79.12748,1138.8,2319.4112120769573,783.5454545454545
,,78775,,,,,,,
243.83336,67.72463301476371,79001,22,1492.065248090909,215.92866789242137,68.34801,1203.0,1862.7068629459552,706.8181818181819
216.7715,75.32186354073086,80001,25,1373.0149524545452,182.06873632548388,76.26343,1260.8,2085.5610828225836,798.0909090909091
241.95903,48.65851917890216,81001,31,2103.295397181818,193.80560162433514,49.787613,1434.6,2221.4424380808346,989.2727272727273
,,81203,,,,,,,
252.75499,62.292007308053414,82001,28,1894.1849861818184,198.24784640014022,62.573055,1546.7,2100.5483416701345,882.7272727272727
222.12793,43.23938215521949,83001,32,1995.837295363636,209.0422703411219,44.72427,1661.4,2311.3081603771643,1000.0
203.31454,62.51024033646758,84001,25,1297.916293090909,184.25689506785778,65.1397,1703.5,1039.3923248062406,772.7272727272727
228.55348,85.73195203495264,85001,21,1220.006758090909,188.88169459617646,86.878426,1622.7,1923.0729922338794,658.9090909090909
,,85203,,,,,,,
240.2559,40.918691384776885,86001,31,2195.857355363636,214.33542883508218,42.814114,1673.4,2473.5055949004645,995.8181818181819
228.87213,59.363496873399406,87001,26,1610.2442865454543,208.11364254135208,60.67946,1695.4,1335.6228208441576,828.9090909090909
,,87076,,,,,,,
272.29016,44.3687785780787,88001,31,2459.5488214545458,224.97931567222332,45.63807,1794.8,2458.590073755356,979.9090909090909
241.74416,62.38157445623111,89001,25,1725.9765831818183,204.79713579780864,63.57251,1818.0,2511.838714787064,800.5454545454545
256.46524,48.7826750771824,90001,29,2201.730379272727,214.03181492204237,51.759544,1847.4,2432.8925011374454,921.7272727272727
,,90144,,,,,,,
245.25748,53.0169617286308,91001,29,2062.9087217272727,219.79331934580648,55.49622,1873.2,1162.993706271852,916.7272727272727
238.08481,67.53834244018559,92001,30,1811.6441702727273,209.1409158512658,69.43487,1859.2,1290.0213716686592,950.7272727272727
272.33356,44.638163599474495,93001,32,2514.0390545454547,239.4795401341352,46.38003,1948.1,2395.6631861678807,1000.0
264.9556,64.30277088190672,94001,26,2028.7209389090908,230.8561073419176,66.3638,2061.5,2521.985009898172,833.0909090909091
,,94144,,,,,,,
277.74002,46.14737956810938,95001,32,2533.3109644545457,219.58044033045223,46.42922,2109.2,2451.8590842870212,1000.0
230.51588,51.544059670376335,96001,29,1929.615727272727,215.77443245242756,54.788303,2120.1,2206.124803398518,902.0
240.24951,32.89700002860218,97001,31,2288.719243727273,228.5679121024368,37.616707,2129.4,2098.9337494320657,995.3636363636364
,,97406,,,,,,,
275.2025,60.86091373969703,98001,26,2151.270493727273,235.60255842849202,64.13449,2181.3,172.54404197845088,828.2727272727273
273.46725,41.681217059375626,99001,31,2557.2017816363636,241.75910784411982,43.667324,2199.1,2722.2774096956987,1000.0
215.58647,43.62712679879151,100001,30,1816.7598991818186,218.68744115915004,45.25021,2170.6,2580.799950277559,932.9090909090909
275.5102,55.01804690274596,101001,29,2324.0485313636364,223.13135174527622,57.302357,2227.8,2496.764732627114,924.0
,,101406,,,,,,,
268.96765,47.70122905644726,102001,31,2439.426278909091,229.05245559220955,48.85288,2232.8,2474.968278485118,1000.0
209.37425,65.77822600541309,103001,25,1403.8390686363637,199.62687853435588,71.22855,2144.7,2418.4918536136456,782.5454545454545
251.93364,50.98763893733067,104001,28,2083.591802818182,214.94511488754307,54.513073,2112.8,2630.2240895392,889.6363636363636
,,104668,,,,,,,
268.80188,82.21674398441242,105001,24,1897.0377722727274,206.2833566342759,83.57225,2126.9,584.7177137785296,761.5454545454545
275.86743,47.93943388297916,106001,30,2435.106566636364,241.73403160384544,49.2588,2121.9,2824.3271130122557,961.4545454545455
250.66454,73.49139772845841,107001,24,1748.593230909091,226.02642930838147,75.71127,2050.9,2629.9090959843793,764.7272727272727
,,107832,,,,,,,
241.45856,128.2263430515815,108001,10,559.2728575454546,149.92549550274893,129.58478,1879.3,1171.9522428774972,339.1818181818182
244.91246,73.7277938702321,109001,25,1656.960650909091,216.22164155614348,74.52894,1857.7,1358.7359364719632,788.4545454545455
240.56436,68.14567823066419,110001,22,1474.8359195454545,219.0323854904051,71.29074,1766.7,1249.3645452665749,717.0909090909091
,,110009,,,,,,,
216.4267,41.353188816295365,111001,29,1869.1597962727274,242.43546868043876,43.345505,1689.5,2547.532036981211,942.4545454545455
240.9523,65.3181144010921,112001,21,1417.6633161818181,244.6209531625608,68.02298,1695.6,467.0318619474486,681.4545454545455
,,112251,,,,,,,
268.5925,38.5702544160483,113001,28,2356.364075,244.36246512701337,43.569717,1718.0,2710.0626646303335,923.6363636363636
242.86934,29.960890601257223,114001,31,2349.482460181818,222.6238402371039,37.205997,1759.5,936.540740263163,1000.0
222.2536,42.69325423205812,115001,27,1807.4487436363636,242.36811798790023,47.048946,1719.1,1178.249408362339,888.0
,,115758,,,,,,,
258.05115,40.83287664980367,116001,29,2317.9152834545453,252.2430523280868,44.945496,1742.0,2760.1440337423032,948.0
233.73306,37.49826245730852,117001,29,2071.2164695454544,243.94681901111807,41.570827,1892.2,2765.232560361924,936.7272727272727
271.96826,42.033491388972585,118001,29,2399.8636188181817,239.9717728128248,45.05274,1991.1,1025.072407641324,939.8181818181819
,,118801,,,,,,,
271.11084,34.09501456125883,119001,31,2615.718859181818,248.0408553000513,39.729893,2108.8,2888.3014937132793,1000.0
242.71791,55.558835133708186,120001,27,1956.7753364545454,230.58116790360953,58.294174,2146.4,2736.7708077847997,889.3636363636364
203.22665,55.91606793204467,121001,24,1362.753360909091,210.8096222223514,59.173206,2123.4,1592.2095685109557,777.9090909090909
,,121510,,,,,,,
255.16,91.36909144089212,122001,18,1338.247325818182,202.95375043188236,92.59711,2035.5,2204.9288374128205,606.9090909090909
210.23495,35.42902945615469,123001,29,1847.6017212727272,233.7578145455893,39.260387,1957.4,1688.7169530625924,940.8181818181819
262.0194,37.99975454277806,124001,31,2504.0833696363634,266.55254987345864,41.55515,2029.0,2848.4528320338372,1000.0
272.86853,41.0511823043513,125001,29,2461.300979909091,261.90067052199834,46.03919,2055.9,2733.937744168989,944.0
,,125510,,,,,,,
281.92218,32.807649301351745,126001,31,2675.4313002727267,258.0234882207685,39.57964,2126.3,3059.1678305620803,972.5454545454545
277.92575,45.082589969020326,127001,30,2446.0287788181818,251.12055093309127,46.72871,2123.9,2846.9693214666395,944.4545454545455
280.35925,32.03616233012251,128001,31,2745.779464090909,265.20029055902177,37.260815,2154.0,2973.679006494101,1000.0
,,128603,,,,,,,
288.95712,43.43176325768868,129001,29,2576.0301457272726,253.67389661769218,48.50514,2197.5,2732.237795500994,929.2727272727273
168.39983,48.35279295022736,130001,28,1209.1508585454544,185.6062990982982,52.554882,2184.3,1045.1741872551595,857.8181818181819
296.8932,36.281964548447036,131001,31,2796.232789090909,259.56505054398434,43.005035,2345.8,3085.565173157539,974.4545454545455
,,131306,,,,,,,
284.20685,77.51371179445628,132001,24,2006.7164257272727,225.2563048362111,79.43603,2360.1,2343.464082219617,750.7272727272727
224.2041,37.22332347341717,133001,30,2016.3166668181816,256.9056458411701,41.528,2336.5,2303.439401391164,944.7272727272727
,,133807,,,,,,,
295.1974,58.69730273733642,134001,28,2527.8463542727272,247.0732122791468,63.882896,2336.5,2913.963677840898,882.0
251.15517,31.880065492679076,135001,31,2366.526737818182,260.74076817388914,40.65408,2307.2,2963.6132000544517,963.6363636363636
263.52502,53.26449004044674,136001,27,2148.538061090909,237.38214084116282,56.55396,2269.0,2935.72903139709,844.6363636363636
310.27603,37.5206766653936,137001,29,2783.975930818182,274.03645713191327,48.155922,2276.4,3173.2896783079823,904.1818181818181
,,137807,,,,,,,
264.321,33.24301436418268,138001,31,2478.3558569999996,260.58762906309954,37.470966,2270.1,2219.1273609846635,966.6363636363636
270.13477,35.10669120477569,139001,32,2617.9950034545454,270.4185697401921,39.89994,2385.6,2974.6492594660303,1000.0
266.53928,45.42688075586819,140001,27,2243.597996545455,254.9114224884037,55.399002,2389.3,196.3516023992392,859.9090909090909
241.23676,45.005004952029246,141001,29,2203.728878,238.80877630791338,50.971153,2369.4,3064.5589619434168,912.0
,,141807,,,,,,,
179.02199,67.88540162242438,142001,27,1212.0247693636366,187.20312955959113,70.144295,2295.1,2136.644566410964,826.3636363636364
241.94292,64.41010201107197,143001,26,1709.7032964545454,266.5561927379512,67.51682,2217.0,1634.8573629641144,817.4545454545455
304.25955,32.310542849609995,144001,32,3001.209778727273,284.56521440132536,41.00356,2262.4,3077.5442171800005,1000.0
265.30515,32.93556507048609,145001,31,2546.962947545455,279.48453606787837,42.743008,2315.4,3153.274437565685,980.1818181818181
,,145807,,,,,,,
231.62721,42.34260749594339,146001,32,2156.4477832727275,266.26432061441295,47.014645,2264.8,1723.8299676671024,1000.0
278.14267,51.381545952657234,147001,29,2370.5840670909092,279.0607974244949,58.707092,2217.1,3174.59498483658,891.4545454545455
