eval_eplenmean,eval_abs_qs_difference,eval_qs,eval_returns,total timesteps,eval_discount_q,eval mean 100 episode reward,eval_qs_difference,eval_time_elapsed,eval_ep_rewmean
131.45454545454547,30.1482,112.56937,258.7466612643912,27001,134.82992819680453,46.7,22.69796980472069,3,251.6555642727273
,,,,27461,,,,,
,,,,27985,,,,,
158.63636363636363,38.641945,151.45572,332.213216269444,28001,153.4942675383734,81.8,38.64194153520134,4,330.93181672727275
,,,,28531,,,,,
,,,,28950,,,,,
99.18181818181819,81.941475,173.79126,216.7285687395494,29001,130.75610661727498,106.5,81.94148028659825,2,220.5521208181818
,,,,29401,,,,,
,,,,29997,,,,,
179.0909090909091,31.987799,172.81996,429.09728671280914,30001,174.97812550203682,150.7,31.483546204288224,4,426.4943795454546
,,,,30627,,,,,
93.0,137.6049,204.73164,169.15636368246024,31001,108.35922174005685,171.3,137.60491294445126,2,169.71213090909092
,,,,31257,,,,,
,,,,31608,,,,,
148.54545454545453,46.543842,208.7413,432.2894186210656,32001,194.98304040479806,215.8,46.54384012726464,3,433.9903150909091
,,,,32217,,,,,
,,,,32812,,,,,
164.8181818181818,75.47728,221.08107,454.53426076895414,33001,178.20567820632075,262.0,75.27514012238804,4,427.7141252727272
,,,,33350,,,,,
,,,,33823,,,,,
196.72727272727272,76.93328,235.46104,507.8333878620026,34001,195.3956426318475,312.7,76.93328433668104,5,505.91612327272736
,,,,34365,,,,,
,,,,34685,,,,,
120.72727272727273,89.67216,213.8589,307.3775296906717,35001,163.4480902515012,337.9,89.67216033974006,3,311.770276
,,,,35101,,,,,
,,,,35601,,,,,
,,,,35990,,,,,
126.0,96.71836,226.39484,328.0998108567204,36001,168.8981067602998,349.2,96.62628687723519,3,330.7200163636364
,,,,36487,,,,,
,,,,36826,,,,,
136.54545454545453,69.444756,219.59805,383.8333608669776,37001,186.9678305492174,356.8,68.2870888527521,3,391.7251921818182
,,,,37497,,,,,
186.54545454545453,37.39784,232.68773,587.0521103280449,38001,222.4791097125657,393.4,34.42499104948806,4,591.8096137272727
,,,,38207,,,,,
,,,,38921,,,,,
137.0909090909091,76.77678,218.25981,368.93605062090757,39001,177.76943400071957,393.9,76.77677703725453,3,369.97572709090906
,,,,39460,,,,,
138.72727272727272,66.58879,216.44208,384.5921276332379,40001,182.94423084474585,412.3,66.58807811834369,3,389.0404925454546
,,,,40208,,,,,
,,,,40813,,,,,
282.45454545454544,46.30775,256.48148,525.3624814910006,41001,216.84623311144796,461.3,43.604117515296394,7,843.3907520909091
,,,,41623,,,,,
250.45454545454547,27.342663,266.2507,915.2046744511448,42001,246.627664484614,505.9,22.90971113106394,6,861.3944916363636
,,,,42308,,,,,
214.72727272727272,68.8545,282.15506,689.5099888208103,43001,232.18995741307901,529.3,67.86237421506534,5,690.0162113636364
,,,,43153,,,,,
,,,,43944,,,,,
43.0,253.82945,292.85043,77.87254463470641,44001,64.4418333045721,505.7,253.8294699618932,1,80.58905681818182
,,,,44686,,,,,
229.0909090909091,54.835545,268.44846,684.120867283107,45001,218.11143108570897,541.5,54.51936521693713,5,706.5142564545454
,,,,45556,,,,,
295.90909090909093,44.270603,286.22116,1037.3249433181177,46001,243.68884014138112,603.0,39.817673520090096,7,972.2167247272727
,,,,46553,,,,,
151.0,194.41977,335.95996,392.86297351986775,47001,181.37159865318768,592.8,194.41975801639103,3,393.2851472727273
,,,,47524,,,,,
148.8181818181818,198.84814,336.72498,381.55448670098315,48001,177.922021285935,588.7,198.84813365253697,4,381.3324978181818
,,,,48306,,,,,
241.9090909090909,77.514824,285.92667,743.0341246005022,49001,229.98335834606485,623.2,76.89021927415821,6,733.4253283636364
,,,,49292,,,,,
230.0909090909091,30.986061,257.09198,767.8214194593407,50001,244.55396122446402,625.6,24.499632387299084,6,777.3380155454546
,,,,50195,,,,,
245.9090909090909,109.58349,294.0632,656.5188366609625,51001,215.5634629088271,606.4,109.25997855361707,6,667.905872
,,,,51071,,,,,
,,,,51918,,,,,
256.27272727272725,51.005783,289.76282,891.428856972647,52001,243.58954563902833,617.5,49.96555536057624,7,856.4645799090908
,,,,52859,,,,,
