eval_eplenmean,eval mean 100 episode reward,eval_qs,eval_qs_difference,eval_returns,eval_ep_rewmean,eval_abs_qs_difference,eval_discount_q,eval_time_elapsed,total timesteps
1000.0,250.7,92.66898,11.69152807417877,924.0697013206528,899.8822002727273,11.792443,91.01777562580341,30,30001
1000.0,366.7,95.049515,24.730416083241256,735.9598195217459,779.3399241818181,24.730427,76.91815349465365,30,31001
1000.0,465.2,94.69738,36.54960516751808,638.5241325085052,647.7923900909092,36.549603,66.98447882616766,30,32001
1000.0,570.2,99.33235,33.60863639774155,861.0850387304175,731.2417666363636,33.60864,74.75206523368534,30,33001
,,,,,,,,,33638
1000.0,776.2,100.98323,21.28173321909304,944.7820042940465,896.8877930909092,23.829023,100.88166363451313,30,34001
1000.0,809.1,99.42597,34.766694015026125,846.4640210381331,729.0111113636362,34.766693,83.25079103807501,30,35001
919.6363636363636,791.2,102.09362,38.97493104120691,865.7527169492058,700.4324741818183,39.36294,80.5303004984262,27,36001
636.8181818181819,740.1,111.91027,59.13001123759584,386.48147054410094,414.4697396363636,61.824024,91.27362933398295,18,37001
,,,,,,,,,37638
550.8181818181819,677.2,105.69732,83.20681404837082,-1661.4163527120295,59.31572790909092,83.961426,78.00076078028872,16,38001
805.5454545454545,595.0,106.899315,91.93804578184064,-2184.820246247139,83.83716727272726,94.022224,85.08185223123175,24,39001
935.4545454545455,558.0,118.56725,49.37370221605673,784.8110690763754,741.4784343636364,51.771618,104.73078134860556,28,40001
,,,,,,,,,40045
1000.0,595.5,135.27913,44.53773528460837,956.8914744739868,1027.4393566363635,45.191544,121.2377130733289,29,41001
717.8181818181819,564.9,133.91972,83.45608481024715,1312.0772993502349,444.4389086363636,83.563705,100.27090803104339,21,42001
921.6363636363636,523.4,110.44266,77.42670620548598,150.62209860099173,399.0668312727273,77.74161,112.76989703125,27,43001
1000.0,553.0,129.96486,36.491304332511795,747.7334491282621,1076.297700181818,39.447422,142.99208816837893,30,44001
,,,,,,,,,44045
625.3636363636364,510.3,143.97484,98.2743665008,422.6969748467439,379.9804326363637,98.61086,110.13756079432484,18,45001
781.0909090909091,528.1,134.249,61.770134101268916,1620.4505068282654,686.1044645454546,66.42321,120.22418928852707,23,46001
900.0,633.9,142.5737,31.349082454281675,1598.8922878107483,1202.588220272727,42.21667,141.6891128863319,26,47001
,,,,,,,,,47691
644.1818181818181,738.6,152.85951,31.642118512095376,313.5354914519498,974.4521856363637,41.12362,136.18291527116574,19,48001
906.0,806.9,138.10802,34.01723904629741,1202.7978762414343,1085.8966923636365,48.09026,143.37361608299142,26,49001
768.5454545454545,809.9,136.94872,22.90246539925096,1186.5779640868072,1030.6289833636363,45.993565,136.90310367661775,23,50001
646.9090909090909,852.4,153.47777,43.88794020098596,694.391342901163,896.6103234545454,51.27622,142.73718490268416,19,51001
,,,,,,,,,51062
785.6363636363636,937.1,167.69089,30.46611484348465,1829.0874676837398,1313.5208891818181,40.239647,164.2591228257128,23,52001
