eval_qs,eval_qs_difference,total timesteps,eval_eplenmean,eval_discount_q,eval_abs_qs_difference,eval mean 100 episode reward,eval_ep_rewmean,eval_returns,eval_time_elapsed
,,137496,,,,,,,
282.83832,83.53124510813713,138001,532.5454545454545,236.81771652354772,91.09874,1797.2,1472.04924,1649.6232483118347,16
256.3904,58.863005185297055,139001,610.5454545454545,252.56826091942503,64.19742,1745.6,1389.5765926363636,1219.5463229703296,18
,,139087,,,,,,,
236.46576,70.75900554220699,140001,618.9090909090909,222.3133968198711,77.8238,1674.9,1288.7088959090909,1410.3151888388443,19
299.5449,54.908495476895496,141001,636.0909090909091,272.1442520097449,63.676132,1661.0,1873.918269090909,1576.6799071901444,19
219.2043,57.64690582247306,142001,761.9090909090909,230.64846572794693,60.864967,1631.2,1416.6192308181814,1102.7837574045102,23
,,142176,,,,,,,
288.88742,80.16937426950652,143001,643.6363636363636,231.18770151150446,87.876495,1651.2,1823.2725793636362,48.253973993734284,19
300.33917,91.53860831791593,144001,464.09090909090907,251.00702249585464,94.234886,1573.2,1295.9041873636363,205.65506366644436,14
,,144110,,,,,,,
293.87122,59.08256766871556,145001,732.2727272727273,259.75523649680224,65.732475,1568.7,2034.7689728181817,3243.2861821463002,22
274.20096,92.34475043486381,146001,747.8181818181819,220.2632555598476,95.19207,1606.5,1855.5408147272728,2347.1588261318957,23
,,146738,,,,,,,
300.0222,47.315056162477624,147001,1000.0,257.8188953944956,49.568447,1726.4,2782.3124237272727,2959.519320491913,31
317.41812,63.78744434199034,148001,902.4545454545455,263.7673386850727,69.31739,1877.3,2668.1877883636366,2831.4978840183157,27
,,148614,,,,,,,
272.03918,93.66624926798134,149001,688.6363636363636,212.63534196435637,98.25098,1921.7,1684.1140730909092,3222.3739054943526,21
312.81796,80.69962498103206,150001,869.3636363636364,231.8887010148709,83.83625,1988.8,2440.7073376363633,2971.2485263920594,26
321.05344,85.09595539017215,151001,1000.0,250.79830693036183,85.50523,2106.6,2607.8648553636363,2623.862787625592,30
306.10168,94.03425626924474,152001,568.7272727272727,231.33932290274308,97.11013,2079.8,1618.0620740909092,2555.2734030447464,17
,,152493,,,,,,,
245.54042,98.88549978392233,153001,583.9090909090909,180.87858728391495,101.92319,2077.8,1104.7522385454545,430.0487410393995,18
311.3108,66.12329588952429,154001,935.1818181818181,277.1693444707669,68.587845,2142.8,2600.1856390909093,2935.745062067641,28
215.38747,88.36297412993862,155001,633.7272727272727,159.57929913931764,91.950325,2105.0,1168.7570515454545,19.94778058727947,19
,,155356,,,,,,,
302.90817,103.44536906191315,156001,599.0909090909091,197.47632391956256,110.4179,1987.4,1894.8289235454547,2859.1509727758116,18
322.53067,75.73242508325103,157001,733.7272727272727,262.4166097124055,84.92462,1953.8,2383.8588139090907,3073.362421944246,22
270.2318,78.01377102903443,158001,734.0909090909091,272.93043115491804,86.476555,1964.4,1722.640071,1297.4580470638089,22
,,158144,,,,,,,
