eval_ep_rewmean,eval_eplenmean,eval_discount_q,eval_abs_qs_difference,eval_qs,total timesteps,eval_time_elapsed,eval_qs_difference,eval_returns,eval mean 100 episode reward
314.6643791818182,137.8181818181818,154.90050212474162,177.35709,293.5453,35001,3,177.01984873632037,334.4652858448131,362.5
,,,,,35256,,,,
298.73357236363637,116.9090909090909,153.0106740858895,157.94855,275.38956,36001,3,157.47191985499313,220.23615811722289,376.5
,,,,,36008,,,,
,,,,,36759,,,,
336.18903927272726,137.8181818181818,164.10559171239677,123.02438,248.40277,37001,3,123.00583380367169,320.26543319000194,377.2
,,,,,37405,,,,
1260.148623909091,405.72727272727275,235.8164673854253,64.43275,310.54346,38001,11,62.54556781078631,941.7063525509109,447.5
,,,,,38012,,,,
,,,,,38733,,,,
238.35393136363638,95.45454545454545,139.41765985806668,154.06023,259.1637,39001,2,154.0602373472161,241.35917802618442,424.0
,,,,,39235,,,,
,,,,,39959,,,,
266.19721100000004,131.45454545454547,139.69363090483782,204.80333,302.0938,40001,3,204.8033458452419,265.2216676431862,411.6
409.69588418181826,148.27272727272728,182.87897617717056,80.75916,234.70639,41001,4,80.51225240065928,407.49481312646975,405.8
,,,,,41005,,,,
,,,,,41697,,,,
539.5364123636364,173.9090909090909,210.75637596046784,63.18812,237.44618,42001,4,47.80535507903569,522.135302690726,432.7
,,,,,42406,,,,
1446.2729137272727,501.72727272727275,216.38239846801463,59.670876,299.45554,43001,14,54.86066885754681,1483.8922898231242,552.1
,,,,,43329,,,,
595.4790693636364,203.9090909090909,212.17499365791664,102.89573,289.02063,44001,5,100.01362766000429,593.7503195578414,593.2
,,,,,44170,,,,
,,,,,44985,,,,
675.3540571818182,218.45454545454547,228.69326823814308,85.95786,286.47723,45001,6,80.96638995559333,677.2820072605319,632.0
,,,,,45860,,,,
682.886959,199.45454545454547,235.84095589308245,34.990807,256.1328,46001,5,30.82047650182949,681.641073216075,672.1
,,,,,46592,,,,
621.9755974545456,213.54545454545453,218.1629177927476,101.36205,290.54895,47001,6,100.42886855625984,622.1145090244029,614.9
,,,,,47416,,,,
652.1425869999999,208.9090909090909,228.5807429588299,79.562065,282.2896,48001,5,78.44660198924903,651.6714010176705,646.1
,,,,,48312,,,,
875.7587295454545,302.09090909090907,224.8060257645722,89.65074,303.8185,49001,8,87.60753283652285,862.57856915939,711.6
,,,,,49247,,,,
842.339158818182,268.8181818181818,236.54672056088418,67.62162,292.17593,50001,7,66.03028847763234,813.1869423652786,762.5
,,,,,50300,,,,
835.7323081818181,264.6363636363636,236.62802662417153,64.36736,289.00714,51001,7,61.73424798320425,846.8843376301614,797.0
,,,,,51228,,,,
612.9752766363637,195.54545454545453,220.0491578118168,59.105026,258.80057,52001,5,56.73737342073414,612.9429041529145,730.8
,,,,,52111,,,,
484.49412836363643,168.9090909090909,201.35265181337445,99.96987,267.1456,53001,4,98.32491733907513,481.98495119561846,698.3
,,,,,53253,,,,
579.8884529090909,196.54545454545453,202.70143618969342,64.04034,251.17749,54001,5,58.95109749907626,460.7887243516622,689.6
,,,,,54068,,,,
,,,,,54918,,,,
644.5643855454545,217.9090909090909,223.04456385685887,104.7373,297.7829,55001,6,103.46646474971357,681.8546176653398,683.3
,,,,,55612,,,,
,,,,,55984,,,,
299.8272807272728,115.54545454545455,159.15029963864683,109.84671,232.83649,56001,3,109.82996804132925,308.0659202681065,650.4
,,,,,56648,,,,
636.9723582727273,187.54545454545453,226.64403962706973,43.86784,256.30325,57001,5,40.29362198123651,444.25554657311113,648.0
,,,,,57341,,,,
,,,,,57887,,,,
657.6558423636363,208.9090909090909,228.1396128575888,96.647675,302.3926,58001,5,95.70068937668074,656.8504128837118,626.1
,,,,,58664,,,,
632.6254487272727,195.54545454545453,223.12125611362387,73.11915,277.5013,59001,5,67.82270615171772,680.8852236735746,602.0
,,,,,59699,,,,
631.8374848181817,196.8181818181818,221.47380955310618,63.500816,269.02258,60001,5,59.452700229309585,650.9683026085726,580.1
,,,,,60674,,,,
660.531907,242.0,204.2547206147043,132.73001,316.85992,61001,6,131.70275198174423,755.2869431231492,579.9
,,,,,61990,,,,
816.8341620909091,252.8181818181818,232.0428819236358,75.62388,306.79913,62001,7,74.81184948308568,901.8826075444405,612.3
,,,,,62917,,,,
660.8625354545454,201.72727272727272,230.5262837882756,88.092155,300.83533,63001,5,86.43942782949529,640.4124818157695,625.0
,,,,,63685,,,,
544.3020921818182,181.27272727272728,208.47545909313746,106.59482,292.66605,64001,5,106.25661335013142,544.8888249717152,617.1
,,,,,64452,,,,
848.9981109090909,258.27272727272725,235.02939467860517,67.65117,305.8669,65001,7,67.26904089504124,840.5551121338652,667.7
,,,,,65124,,,,
608.0542588181819,188.54545454545453,220.94736768693386,68.32956,274.73645,66001,5,68.31216978370257,617.9695058132597,669.8
,,,,,66068,,,,
855.9262019090908,279.45454545454544,220.97521479005874,77.6159,296.11057,67001,7,68.78469779333803,796.4659122353679,693.8
,,,,,67166,,,,
885.8199928181817,292.72727272727275,226.40786757212945,84.13103,305.63226,68001,8,83.85354837235042,1029.4551436953138,718.5
,,,,,68299,,,,
754.5737643636363,246.54545454545453,230.9798616606887,79.9732,290.18314,69001,7,77.27916289397932,686.4604937638361,735.9
,,,,,69604,,,,
566.0538700909091,224.63636363636363,187.3161843508163,146.4604,307.47015,70001,6,145.97420934898906,354.02461112029516,728.6
,,,,,70432,,,,
740.1115380909091,231.0909090909091,232.29584685973052,71.862915,290.1034,71001,6,69.43545100043622,771.4337137860464,720.4
,,,,,71009,,,,
,,,,,71936,,,,
759.9383925454546,240.0909090909091,226.8133229670004,86.98294,302.40897,72001,6,84.26221430448561,1023.9951776279603,724.6
883.5927364545455,278.90909090909093,235.4265102903584,76.546425,304.70087,73001,7,76.28413234141057,864.2693199401069,761.6
,,,,,73051,,,,
,,,,,73921,,,,
708.5601841818184,214.0909090909091,232.4880377640833,62.05061,283.56873,74001,6,60.874464595744755,677.1511841262884,754.0
,,,,,74745,,,,
702.6235197272727,216.63636363636363,234.20819179549815,72.610466,288.2444,75001,6,70.95457438779576,699.0964976499505,759.6
,,,,,75437,,,,
315.34285881818187,122.63636363636364,99.87378148551566,199.63354,282.40585,76001,3,196.05303430890444,983.8602711007634,701.3
,,,,,76574,,,,
505.9061048181818,164.54545454545453,206.39008036636403,79.7341,261.1633,77001,4,77.88482906227412,503.9201825523889,666.0
,,,,,77615,,,,
663.0051318181818,218.0909090909091,226.44697201742665,90.95299,291.5261,78001,6,90.31997938261765,667.1180481585483,650.4
,,,,,78688,,,,
1639.4378581818185,540.3636363636364,248.58173007003109,62.700912,315.36948,79001,15,62.14806686941876,2119.7133605177746,748.2
,,,,,79522,,,,
1148.523675090909,358.6363636363636,246.97734640888575,58.268322,302.04736,80001,10,56.639224096338815,893.0681369454086,812.5
,,,,,80529,,,,
622.4725803636363,197.0909090909091,220.03688839530258,65.52481,269.46515,81001,5,64.571700205164,562.3278226359974,803.6
,,,,,81172,,,,
829.3353879090911,249.0909090909091,245.7127412478667,54.929623,287.86526,82001,7,52.59539000012162,814.4402260318603,791.4
,,,,,82490,,,,
830.3377965454546,256.8181818181818,231.72375203205354,55.91908,282.70438,83001,7,54.17329871296126,904.5313183513766,802.8
,,,,,83360,,,,
651.8259011818182,196.9090909090909,230.1772178253643,67.73371,281.66248,84001,5,66.36026120929496,663.6540515396679,800.1
,,,,,84062,,,,
1230.9729055454545,372.45454545454544,249.99529909069233,54.693947,317.93808,85001,10,53.69788227749198,1236.2769911412345,891.6
,,,,,85079,,,,
670.8207348181818,223.0,222.48050751400632,78.29688,276.1606,86001,6,74.11408963459547,673.660071481515,914.9
,,,,,86778,,,,
937.1719988181819,304.0,234.0998493552992,71.68088,302.95657,87001,8,70.95183129494832,955.3610909966726,945.5
,,,,,87592,,,,
2051.2730180000003,712.0,243.48142956695037,73.07704,321.58142,88001,20,72.6075890852385,2800.1774336805042,999.5
,,,,,88347,,,,
738.4734907272727,219.0,238.06103398451057,51.77432,276.4266,89001,6,48.04570414489333,695.5883265553172,952.2
,,,,,89365,,,,
834.373625909091,248.63636363636363,234.11579203032423,42.094486,275.36032,90001,7,38.49640037225927,997.3894151381818,968.1
,,,,,90299,,,,
1117.8142816363638,344.8181818181818,245.3941810880569,53.75464,297.9258,91001,9,52.251669542553856,956.9113294696324,1003.5
,,,,,91322,,,,
652.5413431818181,204.8181818181818,219.84182352676945,57.398586,266.80353,92001,5,56.34973938560684,627.92683058511,995.8
,,,,,92114,,,,
,,,,,92847,,,,
939.7953005454547,278.8181818181818,251.68343440976125,51.904324,296.94836,93001,7,49.24369042753651,941.0137567712022,1012.8
,,,,,93776,,,,
354.6722091818182,130.54545454545453,171.97002847498422,114.571655,253.99619,94001,3,113.6762542919264,462.03790720241824,934.1
,,,,,94719,,,,
